"trial","sampling","design","p","kappa","vif_max","vif_median"
14,"multi_transient_sg","full",55,72.083353468614,279.965410260005,19.707068643819
14,"multi_transient_sg","truth",7,7.86680704508472,11.6565561108469,1.76084666094827
15,"trajectory_sg","full",55,2562.75219244067,190512.062613959,862.792543131888
15,"trajectory_sg","truth",7,10.8874925065169,8.53701134443713,3.59200776020767
15,"trajectory_clean","full",55,2564.42934753642,190671.593567784,864.873825263813
15,"trajectory_clean","truth",7,10.887644985167,8.53737220671418,3.59217670195381
15,"box_uniform","full",55,1179.28822755702,39888.4056396134,74.6772312687935
15,"box_uniform","truth",7,11.8216245842728,6.89907003715601,3.62835863805938
15,"multi_transient","full",55,51.298577635004,159.473054639207,18.1109869030659
15,"multi_transient","truth",7,6.5819662309813,8.63162103820079,1.68655484932586
15,"multi_transient_sg","full",55,51.2624331702318,159.409626947171,18.1382920448664
15,"multi_transient_sg","truth",7,6.58274546687434,8.63311958058773,1.68649339570301
16,"trajectory_sg","full",55,2078.39463951909,113102.151442221,2215.98198701724
16,"trajectory_sg","truth",7,10.5248379295055,8.30407299893084,3.71460559093528
16,"trajectory_clean","full",55,2084.66433412635,113539.473529657,2247.74392449828
16,"trajectory_clean","truth",7,10.5255433888443,8.30472776973809,3.71528134550525
16,"box_uniform","full",55,747.259945583754,15423.8290552211,76.3284943710676
16,"box_uniform","truth",7,10.1745509926517,6.23187732878977,3.30175004814839
16,"multi_transient","full",55,73.2101170298567,176.129780274686,27.4770451747802
16,"multi_transient","truth",7,6.70360016397346,9.02838998350454,1.8591642206521
16,"multi_transient_sg","full",55,73.2047586792144,176.108757215886,27.4816418350837
16,"multi_transient_sg","truth",7,6.70364166729351,9.02802876821649,1.85912152852653
17,"trajectory_sg","full",55,408.889776382492,7263.72504413283,380.528891407003
17,"trajectory_sg","truth",7,8.55055013774088,7.42908450364084,2.67627079496992
17,"trajectory_clean","full",55,408.545121753907,7249.71712664255,382.904202170293
17,"trajectory_clean","truth",7,8.55170526786618,7.43055595309201,2.67827649690532
17,"box_uniform","full",55,207.275881781188,1742.32076255249,34.3835926788574
17,"box_uniform","truth",7,7.73411691455,6.10390777184354,2.65009827217674
17,"multi_transient","full",55,66.5462825360703,130.606278988211,23.4687241158503
17,"multi_transient","truth",7,5.80243373932569,6.83358764563886,1.71352210115588
17,"multi_transient_sg","full",55,66.5579333178082,130.434876633432,23.4776210996825
17,"multi_transient_sg","truth",7,5.80090234286628,6.82976103124499,1.71288564836614
18,"trajectory_sg","full",55,458.592621343118,8501.55083620043,550.051266609513
18,"trajectory_sg","truth",7,8.77175408742363,7.21651002172329,3.07624166755805
18,"trajectory_clean","full",55,458.925272910048,8517.06926906844,551.006740047009
18,"trajectory_clean","truth",7,8.77432276918077,7.2201656184977,3.07604841506122
18,"box_uniform","full",55,233.246690720105,2162.71670486891,36.8613812793988
18,"box_uniform","truth",7,7.93845588371305,6.06812707798636,2.75060823845051
18,"multi_transient","full",55,71.8586552791604,170.521240150776,19.8427046652195
18,"multi_transient","truth",7,7.19479791807824,10.2394847778129,1.6952900604991
18,"multi_transient_sg","full",55,71.8841959061824,170.790029588602,19.8523953964919
18,"multi_transient_sg","truth",7,7.19220331284194,10.2324323042894,1.69497872556305
19,"trajectory_sg","full",55,1076.31290721281,36088.3083692497,1405.1835052258
19,"trajectory_sg","truth",7,9.38792820294238,7.60008142273581,3.17894704338761
19,"trajectory_clean","full",55,1077.91147843877,36185.3404124873,1433.16284218707
19,"trajectory_clean","truth",7,9.38703670071818,7.59899002299876,3.17671440397533
19,"box_uniform","full",55,467.5114460676,8563.36540448491,56.1854532143723
19,"box_uniform","truth",7,9.49132068359509,6.2752920151239,3.04346343398394
19,"multi_transient","full",55,78.6134490232865,266.889852799526,22.9692256051871
19,"multi_transient","truth",7,7.18319975133316,9.91515432419165,1.68390038231124
19,"multi_transient_sg","full",55,78.6371169853024,266.688611878655,22.9757755799062
19,"multi_transient_sg","truth",7,7.18046784222906,9.90778941548834,1.6831459701464
