"trial","log10n","n","index","t","k","x1","x2","x3","abs_x2x3","abs_x2x3_quantile","radius_quantile","leverage","leverage_quantile","leverage_x_n_over_p","residual","std_residual","deriv_error","deriv_error_quantile","y","fitted"
16,4.8,63096,29389,293.89,6.73201175715141,-19.8220534885636,4.93859860331932,11.9321497286721,58.9280979846172,0.999556231773805,0.999936604539115,0.00483027808499145,0.999920755673894,101.59040868354,-51.1510988851201,-87.9905682292389,-57.4242242933966,0.999984151134779,166.08639933408,217.2374982192
16,4.8,63096,29390,293.9,2.77098820637065,-17.5164477904412,7.08500259184045,8.7376232537663,61.9060833994596,0.999667173830354,0.99987320907823,0.00507810564093096,0.999936604539115,106.80271784006,-30.5080358785025,-52.4801904752106,-30.2320680005689,0.999920755673894,196.548703141136,227.056739019638
16,4.8,63096,29397,293.97,0.530225875918544,-15.3721332615863,7.48338272146082,-8.30507528239204,62.150056868684,0.999683022695575,0.999603778369469,0.00212311417245408,0.999556231773805,44.6533372750541,10.4677256373612,18.0066733066241,11.933246395291,0.999730569291239,-102.272124643936,-112.739850281297
16,4.8,63096,29398,293.98,0.577904583137017,-16.4789480669413,6.07068308160773,-9.66010686796453,58.6434473298749,0.999540382908584,0.999778115886902,0.00178537512515135,0.999381894256371,37.5500096321831,11.6531402404825,20.0458338875168,13.8695114366697,0.99987320907823,-88.960269071561,-100.613409312043
17,4.8,63096,17234,172.34,0.516804876485524,-12.6263326695931,-7.43501400256097,9.14686577741585,68.0070751346326,0.999968302269557,0.999461138582478,0.00243377360023582,0.999904906808673,51.1871263601597,7.75054680036513,22.0473129670983,8.73733066192329,0.999793964752124,-144.437788195366,-152.188334995732
17,4.8,63096,17235,172.35,0.946445722992538,-14.0677251601823,-6.16476774142358,10.1001703259894,62.2652042085429,0.999841511347788,0.999793964752124,0.00191360781029038,0.999698871560796,40.2469994660272,10.1943973582488,28.9991241724627,11.7089515387234,0.999968302269557,-120.368692085219,-130.563089443468
17,4.8,63096,17239,172.39,0.857659872713736,-15.5848185345281,0.640381989347508,9.73991535931489,6.23726637387441,0.87411246354761,0.999809813617345,0.000712136863237072,0.995102700646634,14.9776625076021,-9.99861309784786,-28.4421935488209,-11.0729406973388,0.999904906808673,53.162516105054,63.1611292029019
17,4.8,63096,17240,172.4,0.881178460065892,-14.7697072728447,2.14650478829816,8.48915366294728,18.2220089861152,0.978223659186002,0.999381894256371,0.00115111274614097,0.99822492709522,24.2102032768368,-10.3493050357659,-29.4397767012706,-11.3422109236631,0.999936604539115,84.3128399456803,94.6621449814462
17,4.8,63096,39417,394.17,1.15496936105599,-13.393473511005,-7.313782666122,9.72878075256398,71.1541880306038,0.999984151134779,0.999714720426018,0.00264522775764971,0.999984151134779,55.6344301988887,10.5020007771833,29.8741371259589,11.6859750194621,0.999952453404336,-147.563694796275,-158.065695573458
17,4.8,63096,39418,394.18,1.21811847049334,-14.8606628215739,-5.87546102153933,10.6786016909304,62.7417079996057,0.999857360213009,0.999936604539115,0.00191079701557492,0.999683022695575,40.1878828315718,11.7630220168276,33.4612556409114,13.5520714866241,1,-117.144012669129,-128.907034685956
