"trial","log10n","n","design","kappa","vif_max","vif_median"
2,4.8,63096,"full",10192.0947327628,2584022.20183298,7363.82951308363
2,4.8,63096,"truth",12.0081624044359,9.64923612940148,4.28895048069764
2,5,1e+05,"full",12813.5718468854,4073789.89081221,11076.7693626915
2,5,1e+05,"truth",12.0866666980553,9.70954155600232,4.32477537526794
3,2,100,"full",18552282324596376,1e+16,1e+16
3,2,100,"truth",3944.42892440387,590004.318888763,109666.047577434
3,2.2,158,"full",270287316937743,1e+16,1e+16
3,2.2,158,"truth",2212.69202238534,365637.698368857,39334.5971602531
3,2.4,251,"full",3857852923050.09,1e+16,1e+16
3,2.4,251,"truth",132.92717640255,1646.77647422274,158.904694060861
3,2.6,398,"full",197293019262.642,1e+16,1e+16
3,2.6,398,"truth",24.5101419283006,72.9673409759306,10.7480085830811
3,2.8,631,"full",18728440985.249,1e+16,1e+16
3,2.8,631,"truth",21.5447074082023,72.2389851520438,5.80679009387803
3,3,1000,"full",2483935.47852212,78770752662.8682,2276865829.60335
3,3,1000,"truth",10.1170852574798,9.45183483328994,3.63533548700087
3,3.2,1585,"full",2593.15011403223,133943.53341324,4459.01010141702
3,3.2,1585,"truth",9.48459644328856,8.10119483236844,3.29609494446462
3,3.4,2512,"full",1405.40607017026,66576.5256702596,528.858714195783
3,3.4,2512,"truth",9.30252270395112,7.31416234505143,2.93409057716936
3,3.6,3981,"full",1431.40975847943,69912.6809350728,563.519606748123
3,3.6,3981,"truth",9.22636097045127,7.17953172132295,3.14256601587403
3,3.8,6310,"full",1731.74145400011,93226.8245121849,826.549080426397
3,3.8,6310,"truth",10.1023470260602,7.81559516759126,3.61492442109707
3,4,10000,"full",2057.43653061304,130076.390594938,1100.70737775379
3,4,10000,"truth",10.5039002704319,8.19727945720298,3.71675134598297
3,4.2,15849,"full",2506.68873740965,186480.633087403,1551.46306321998
3,4.2,15849,"truth",10.8951389690717,8.53637438008315,3.91980230302946
3,4.4,25119,"full",3120.02153907243,281589.131615864,2308.05116605402
3,4.4,25119,"truth",11.361195866151,8.97310547410037,4.07366074553552
3,4.6,39811,"full",3870.53105720307,428002.809865526,3540.7313815689
3,4.6,39811,"truth",11.6410927388092,9.25223104839807,4.18218796677118
3,4.8,63096,"full",4825.16113366477,660157.258407819,5409.26538348845
3,4.8,63096,"truth",11.829479236221,9.4464552155522,4.24960386050397
3,5,1e+05,"full",6049.66414043933,1029192.2903049,8349.92822667066
3,5,1e+05,"truth",11.9897195235614,9.58538855070725,4.30634899670462
4,2,100,"full",15060047255526770,1e+16,1e+16
4,2,100,"truth",50667.7888970322,15486860.0084764,5557052.43267205
4,2.2,158,"full",365729284941508,1e+16,1e+16
4,2.2,158,"truth",1561.87478361474,38239.4441939298,15807.5397073162
4,2.4,251,"full",1686789590758.41,1e+16,1e+16
4,2.4,251,"truth",125.72970884109,906.589222827644,170.648100879048
4,2.6,398,"full",99082974861.5528,1e+16,1e+16
4,2.6,398,"truth",16.2786062705693,14.7165173184306,8.86400724062182
4,2.8,631,"full",337463264.50055,3002399751580330,9716504050421.78
4,2.8,631,"truth",17.7702692354584,12.4968287615589,6.52015657384228
4,3,1000,"full",1401527.20813576,41234769085.5532,77303765.2077739
4,3,1000,"truth",14.9916749135908,10.5995414151576,5.41094281972284
4,3.2,1585,"full",4812.24174524795,543951.516975799,2931.36510465117
4,3.2,1585,"truth",12.4419189197028,8.81284254411584,4.57677847830217
4,3.4,2512,"full",2198.74395789603,151283.434971281,979.340230223563
4,3.4,2512,"truth",10.4853025243423,7.72181634687832,3.7722247770819
4,3.6,3981,"full",2555.77130792686,187574.186549992,913.665311419272
4,3.6,3981,"truth",10.8277729702527,8.46254263870468,3.63385411056291
4,3.8,6310,"full",3186.5171014093,276676.927239727,1223.79240340671
4,3.8,6310,"truth",10.9440380043612,8.46801662422898,3.79127137207563
4,4,10000,"full",4039.03379659584,429530.326124776,1796.64931078213
4,4,10000,"truth",11.1974776823364,8.84825731427344,3.9264601798913
4,4.2,15849,"full",5124.55529705051,672330.081291425,2678.93647496756
4,4.2,15849,"truth",11.4768388520991,9.15404227176014,4.04770323011011
4,4.4,25119,"full",6448.14504161952,1048584.38837277,4087.51760103787
4,4.4,25119,"truth",11.6472021271797,9.27155197531102,4.15118048949739
4,4.6,39811,"full",8162.96828680319,1660162.60295809,6391.19144364883
4,4.6,39811,"truth",11.8817359686486,9.50146428585504,4.22940847948296
4,4.8,63096,"full",10267.9647155864,2608688.08268744,9972.10404178458
4,4.8,63096,"truth",12.0036338535054,9.61953955963797,4.28620916459532
4,5,1e+05,"full",12905.5159981428,4108931.77688357,15604.1902365712
4,5,1e+05,"truth",12.0659903526384,9.67700582144817,4.31826824945682
5,2,100,"full",21145435174526372,1e+16,1e+16
5,2,100,"truth",3884.39920897671,248743.227486685,20492.6521519205
5,2.2,158,"full",386302672126718,1e+16,1e+16
5,2.2,158,"truth",324.546094718145,1724.66151286503,221.222407418289
5,2.4,251,"full",1882734411554.2,1e+16,1e+16
5,2.4,251,"truth",18.2222222752937,21.1609484565328,8.69823819333236
5,2.6,398,"full",99979341938.4832,1e+16,1e+16
5,2.6,398,"truth",9.15914378106029,8.97322594439317,7.50780314696391
5,2.8,631,"full",1505772208.35763,1e+16,428914250225762
5,2.8,631,"truth",10.5346637374661,8.69555648337301,4.60890596187032
5,3,1000,"full",1351893.68007397,25308443888.9369,773503306.337116
5,3,1000,"truth",8.29355366046568,6.82013932309096,4.32235282930075
5,3.2,1585,"full",3125.13532522689,336577.679189468,5168.00554433648
5,3.2,1585,"truth",8.66478564735615,7.3508391550894,2.77392509273295
5,3.4,2512,"full",1679.1260788767,102116.819016423,870.588837532921
5,3.4,2512,"truth",9.74796290275717,8.44999254248282,2.99309029556557
5,3.6,3981,"full",2066.83776354796,132914.364707786,1150.20299340302
5,3.6,3981,"truth",10.3329393388311,8.4159338297183,3.30979141640253
5,3.8,6310,"full",2512.14491554774,187002.597190515,1569.58751053336
5,3.8,6310,"truth",10.5351499312875,8.67330520332433,3.49906344200215
5,4,10000,"full",3146.32566326979,277942.459233948,2403.3643213421
5,4,10000,"truth",10.9390439550781,8.87470786081466,3.75650043576146
5,4.2,15849,"full",3935.13051125084,421430.930157284,3723.09567489172
5,4.2,15849,"truth",11.3089635418039,9.11277436959262,3.95020468097824
5,4.4,25119,"full",4903.11037583218,645194.154868413,5527.06135799804
5,4.4,25119,"truth",11.5161856233739,9.29655547355355,4.07356506682649
5,4.6,39811,"full",6130.92913720242,998100.164486924,7516.96233055854
5,4.6,39811,"truth",11.7109703182651,9.41117663526636,4.1774809610227
5,4.8,63096,"full",7704.20429933734,1564643.59259009,10886.8597374603
5,4.8,63096,"truth",11.9140793126305,9.5838695478784,4.25076507168363
5,5,1e+05,"full",9653.60115406341,2446411.53842639,16727.8251640853
5,5,1e+05,"truth",12.0175609318708,9.67496368251666,4.29644837692182
6,2,100,"full",13928220369182176,1e+16,1e+16
6,2,100,"truth",100662.547048368,135722503.672669,37598949.1375907
6,2.2,158,"full",27123189994506248,1e+16,1e+16
6,2.2,158,"truth",8692.27274952758,198063.176598513,78055.7527840555
6,2.4,251,"full",72665341512850.1,1e+16,1e+16
6,2.4,251,"truth",1002.50463765148,10396.6505788788,7802.75006954882
6,2.6,398,"full",1053114702839.85,1e+16,1e+16
6,2.6,398,"truth",809.389215614,5148.50104496445,4684.23883081958
6,2.8,631,"full",5289151029.18327,1e+16,35601578081980.2
6,2.8,631,"truth",311.641068514051,579.865328887708,501.251723032859
6,3,1000,"full",22940048.5500614,4246675744809.52,1314479392.55686
6,3,1000,"truth",153.698523441425,179.426807822693,150.552211937148
6,3.2,1585,"full",95787.0057234281,135965119.050037,30395.1716841085
6,3.2,1585,"truth",57.3565301751243,35.4680446134153,25.2586539479679
6,3.4,2512,"full",5397.70806058552,781363.295433674,629.182307642685
6,3.4,2512,"truth",21.7627761721228,9.39482637476883,7.37610666703434
6,3.6,3981,"full",2496.07917036949,201932.293480788,193.345830777698
6,3.6,3981,"truth",14.5992115249224,7.63395219747413,4.90498711037424
6,3.8,6310,"full",2175.10526411884,150197.876685739,176.141718666523
6,3.8,6310,"truth",11.4824380012462,7.1572064072713,4.05986644033391
6,4,10000,"full",2970.88942026427,251274.680338384,279.481557509199
6,4,10000,"truth",11.0165631327379,7.5009004805923,3.97068786660611
6,4.2,15849,"full",3865.80922503896,395883.435655995,411.818405581095
6,4.2,15849,"truth",10.9226090553086,7.85407395747567,4.0283990146723
6,4.4,25119,"full",4883.11978731908,609767.304091949,613.621489279873
6,4.4,25119,"truth",11.0315819204559,8.27542028186296,4.01435743528057
6,4.6,39811,"full",6131.0979496847,936997.912590327,924.665631589018
6,4.6,39811,"truth",11.2362421368073,8.64561559089038,4.08391501587703
6,4.8,63096,"full",7695.79953203883,1448118.91012322,1422.13440378345
6,4.8,63096,"truth",11.4903410153251,8.96305307962259,4.16466886795451
6,5,1e+05,"full",9649.29254742801,2248658.04544277,2225.84083447634
6,5,1e+05,"truth",11.7193152382802,9.24715350396023,4.22984171382826
7,2,100,"full",21432586894910124,1e+16,1e+16
7,2,100,"truth",59877.4747863528,11999262.8253246,7204178.13279938
7,2.2,158,"full",344153521987016,1e+16,1e+16
7,2.2,158,"truth",470.657917216893,3069.68706870427,642.942658948936
7,2.4,251,"full",3899457238410.21,1e+16,1e+16
7,2.4,251,"truth",101.151826701037,456.778401432435,90.7081063999168
7,2.6,398,"full",122511298940.566,1e+16,1e+16
7,2.6,398,"truth",24.6757966481874,25.413948902136,12.778344960509
7,2.8,631,"full",350360998.5369,1801439850948198,13053911963392.7
7,2.8,631,"truth",23.4647006782014,17.4788736872002,8.6467931011061
7,3,1000,"full",1233218.9874844,33750755992.4946,162292673.844113
7,3,1000,"truth",15.0231737471218,10.3600001274791,5.47596582269719
7,3.2,1585,"full",8680.26211195334,1781495.39925689,3895.85793112902
7,3.2,1585,"truth",13.2699284652941,9.31770845567834,4.92581679896411
7,3.4,2512,"full",3344.69298779797,325227.797072363,883.374960687632
7,3.4,2512,"truth",11.0492980073552,8.02535524000908,3.96841408482726
7,3.6,3981,"full",1307.32532118152,64593.1466452135,187.396993512643
7,3.6,3981,"truth",10.7390575657236,8.16871783226896,3.89426021145587
7,3.8,6310,"full",1342.71935454946,65364.9587702474,210.776658525792
7,3.8,6310,"truth",10.4929814584503,8.21171353425262,3.51278638028411
7,4,10000,"full",1733.16961967134,94242.7504319338,311.577716494191
7,4,10000,"truth",10.6676846637001,8.41179514265873,3.5267823581558
7,4.2,15849,"full",2230.57790038294,141976.548021873,460.278717779227
7,4.2,15849,"truth",10.9045069994844,8.61592398853041,3.69480568724578
7,4.4,25119,"full",2835.32319859838,217447.845907347,695.367173941315
7,4.4,25119,"truth",11.0704775213294,8.81464361955835,3.82692437661091
7,4.6,39811,"full",3600.62721938025,337963.31655293,1048.61880945788
7,4.6,39811,"truth",11.287048854396,8.98794738653145,3.95875872904671
7,4.8,63096,"full",4573.75333302404,530866.960800923,1582.31853429924
7,4.8,63096,"truth",11.5379299161493,9.22208664301951,4.07903320633958
7,5,1e+05,"full",5759.10807173787,832826.200806186,2419.11589917659
7,5,1e+05,"truth",11.710769321592,9.39451536045184,4.15914365895812
8,2,100,"full",26133888460624600,1e+16,1e+16
8,2,100,"truth",46730.0544748003,54187889.1137152,13723414.3407037
8,2.2,158,"full",274286815205582,1e+16,1e+16
8,2.2,158,"truth",586.721841477302,22098.7172299949,2606.06671504454
8,2.4,251,"full",1579354158763.35,1e+16,1e+16
8,2.4,251,"truth",41.493387994323,161.629851145273,62.7132677793265
8,2.6,398,"full",120067526249.491,1e+16,1e+16
8,2.6,398,"truth",21.863147833903,57.0437280403068,6.85923100171169
8,2.8,631,"full",623390391.539869,3002399751580330,105967050055776
8,2.8,631,"truth",12.1933481757825,13.9491758500196,7.93464542648861
8,3,1000,"full",967054.071385507,14274325411.1935,100691618.341453
8,3,1000,"truth",8.96705539026078,10.0142204718427,5.54526475930367
8,3.2,1585,"full",2107.64198626552,158659.188739556,2857.31126887716
8,3.2,1585,"truth",8.98925479849461,7.49152347318327,3.06039261870196
8,3.4,2512,"full",1488.29805994536,88076.8942668854,1289.44719999015
8,3.4,2512,"truth",9.81793576888074,8.32091283115231,3.40961013403803
8,3.6,3981,"full",1836.52644951677,112337.012070692,1396.95361896364
8,3.6,3981,"truth",10.4015082074623,8.35381854576469,3.32909375843652
8,3.8,6310,"full",2255.81465377776,158037.607188194,1915.27421526281
8,3.8,6310,"truth",10.5230455499421,8.6168687614196,3.38811994769742
8,4,10000,"full",2862.09878960854,236693.671345924,2887.31215715575
8,4,10000,"truth",10.9012963554384,8.81139629569103,3.62914246763133
8,4.2,15849,"full",3609.2191464253,360593.575798131,4138.90593133649
8,4.2,15849,"truth",11.2332322318797,9.02383761263673,3.84703228681062
8,4.4,25119,"full",4516.79904324223,553093.480056588,6309.02706960668
8,4.4,25119,"truth",11.4358421076825,9.21997904426378,3.97064044492831
8,4.6,39811,"full",5658.23309242781,855548.499876831,8821.84440709446
8,4.6,39811,"truth",11.6322160848598,9.34739355851896,4.09383371475804
8,4.8,63096,"full",7114.39939256935,1339006.06529823,12547.7376709898
8,4.8,63096,"truth",11.8490285694799,9.52917394442204,4.18906628379296
8,5,1e+05,"full",8914.35366522392,2089002.63991376,18100.3316499602
8,5,1e+05,"truth",11.9727728588783,9.63683874640348,4.25412597754391
9,2,100,"full",24403568836342656,1e+16,1e+16
9,2,100,"truth",25021.2062933511,5894309.48514072,1521485.03263984
9,2.2,158,"full",12295076700080172,1e+16,1e+16
9,2.2,158,"truth",29113.738703859,5925101.30910773,1115409.32680329
9,2.4,251,"full",1617800348458071,1e+16,1e+16
9,2.4,251,"truth",5128.40961135962,136993.389637934,25279.2915025167
9,2.6,398,"full",97816306225752.6,1e+16,1e+16
9,2.6,398,"truth",554.196473138201,1207.55614371837,266.119116679409
9,2.8,631,"full",390324035102.384,1e+16,1e+16
9,2.8,631,"truth",37.056574338095,145.230281561586,18.4282670262611
9,3,1000,"full",36193453973.178,1e+16,3002399751580330
9,3,1000,"truth",33.3837943184581,142.946839049302,18.5191102689758
9,3.2,1585,"full",705228.873071532,6184254191.28332,164997150.940165
9,3.2,1585,"truth",12.0167188464913,14.7736591218512,5.02996627266678
9,3.4,2512,"full",653.272260112449,14073.3739713384,817.911027916496
9,3.4,2512,"truth",8.90684208611239,8.53505081529033,2.38170417514405
9,3.6,3981,"full",526.135429520977,11680.847133928,360.673039371313
9,3.6,3981,"truth",8.62761793027717,7.52777899268474,2.59999991557608
9,3.8,6310,"full",617.685426929661,13681.9046148944,516.537043156127
9,3.8,6310,"truth",8.81970472699996,7.08215738303633,2.74697896319397
9,4,10000,"full",727.321349381007,17004.966644181,782.242398645319
9,4,10000,"truth",9.12874064597681,7.14230638634294,3.14528365526079
9,4.2,15849,"full",868.910781894363,22562.430816783,1197.74284694609
9,4.2,15849,"truth",9.68007342158966,7.55357928009372,3.47153076874033
9,4.4,25119,"full",1053.54991062239,31382.5225682947,1795.57408275582
9,4.4,25119,"truth",10.2402784266649,7.97215666045998,3.73495754042639
9,4.6,39811,"full",1295.32281830245,45275.5425709905,2502.97436575287
9,4.6,39811,"truth",10.7652155367646,8.42338009729481,3.964938977057
9,4.8,63096,"full",1599.38791743484,67157.6873253297,3655.61589962184
9,4.8,63096,"truth",11.1592478672253,8.80805667605761,4.0805398626618
9,5,1e+05,"full",1990.19091011834,101968.163076098,5655.07440092576
9,5,1e+05,"truth",11.4877644251085,9.11083999645291,4.1846918650348
10,2,100,"full",16369711537329484,1e+16,1e+16
10,2,100,"truth",39659.3375468852,17392261.1868114,596520.460259826
10,2.2,158,"full",8079242435460708,1e+16,1e+16
10,2.2,158,"truth",4598.74411047992,262757.141376839,41148.2487500917
10,2.4,251,"full",571466256114743,1e+16,1e+16
10,2.4,251,"truth",4894.26451980277,229519.812596877,35254.5811949368
10,2.6,398,"full",42771749406493.8,1e+16,1e+16
10,2.6,398,"truth",892.264604049221,5460.63995041642,813.000644517925
10,2.8,631,"full",506492224283.242,1e+16,1e+16
10,2.8,631,"truth",38.091333384691,44.9149224291923,19.1454048193147
10,3,1000,"full",55183748866.0972,1e+16,2251799813685248
10,3,1000,"truth",15.8874628538241,42.4508515941108,8.1457235589397
10,3.2,1585,"full",2734231.57868626,104711741065.823,1302353692.28566
10,3.2,1585,"truth",11.7561840534149,15.1568597694805,2.77585447738313
10,3.4,2512,"full",1297.92316814961,44714.3056677143,1631.2123373749
10,3.4,2512,"truth",8.7981605049806,8.44156836661212,2.66657701203501
10,3.6,3981,"full",483.916724858303,9872.99339698895,449.115470088623
10,3.6,3981,"truth",8.9168729037414,7.93461485961119,2.58772791144583
10,3.8,6310,"full",424.824507212779,8038.28267485698,410.320186390711
10,3.8,6310,"truth",8.60538180205461,7.1226836169535,2.71213079854183
10,4,10000,"full",512.641319003674,9575.69007519449,561.984964201469
10,4,10000,"truth",9.06187750243022,7.30167455507244,3.00178430826291
10,4.2,15849,"full",620.815667349469,12382.9003148827,835.022096064987
10,4.2,15849,"truth",9.53245908060467,7.51597037962556,3.29786887716012
10,4.4,25119,"full",761.533339305713,16909.8742191429,1256.17764082817
10,4.4,25119,"truth",10.0079432728816,7.86030060907463,3.55364467996128
10,4.6,39811,"full",963.808874860442,24236.0755518581,1915.04818673498
10,4.6,39811,"truth",10.4980907337387,8.24083526242795,3.776023562944
10,4.8,63096,"full",1228.69906023867,35780.8350156438,2841.84832420422
10,4.8,63096,"truth",10.9455764808647,8.63249503513547,3.97076735477887
10,5,1e+05,"full",1551.55908215792,54001.3929125968,4113.25782670674
10,5,1e+05,"truth",11.2834505711363,8.95592658424858,4.08464495701511
11,2,100,"full",15216150975812594,1e+16,1e+16
11,2,100,"truth",5150.88628616439,1982776.98482306,122511.932287395
11,2.2,158,"full",164987525145131,1e+16,1e+16
11,2.2,158,"truth",1479.33290222091,187763.882866585,11741.3972230149
11,2.4,251,"full",12781203883567.8,1e+16,1e+16
11,2.4,251,"truth",813.334042986981,50139.2200960208,2438.99110231118
11,2.6,398,"full",1853293503564.08,1e+16,1e+16
11,2.6,398,"truth",593.182881285743,20799.3352313816,861.778884101737
11,2.8,631,"full",388650917887.533,1e+16,9007199254740992
11,2.8,631,"truth",514.203252710549,11116.2216996735,450.850830318457
11,3,1000,"full",55976781017.2155,1e+16,1e+16
11,3,1000,"truth",253.924823027738,1947.45757630962,91.9961220015117
11,3.2,1585,"full",55717893209.719,1e+16,1e+16
11,3.2,1585,"truth",14.4505950889253,33.4649331628039,8.78124057544044
11,3.4,2512,"full",21654771226.2135,1e+16,9007199254740992
11,3.4,2512,"truth",14.0618474140334,33.2491681834691,23.4678165669437
11,3.6,3981,"full",2054.6009485194,50258.2373114619,7667.14473913679
11,3.6,3981,"truth",12.9833392107067,17.7900396437417,2.46971205868966
11,3.8,6310,"full",416.360003795861,3131.92152779248,451.687885962132
11,3.8,6310,"truth",9.2780031044534,9.15135406393686,2.36681676697547
11,4,10000,"full",361.166405016495,3046.07633084644,508.976352023919
11,4,10000,"truth",8.74445514043488,7.54489351741356,2.4714422891156
11,4.2,15849,"full",427.908425295479,4090.4682003599,673.866281493252
11,4.2,15849,"truth",8.764615278685,7.06843201966839,2.81075618107633
11,4.4,25119,"full",555.05570846168,6607.23314148624,994.491348417255
11,4.4,25119,"truth",9.09929564923876,7.16523139763042,3.1377477266936
11,4.6,39811,"full",716.953092013386,10558.2696103883,1450.04544827216
11,4.6,39811,"truth",9.58925876338678,7.44991536386787,3.44092624948544
11,4.8,63096,"full",921.063808910751,16788.9836019297,2035.34607397815
11,4.8,63096,"truth",10.1622466644504,7.90424637202295,3.70872508698242
11,5,1e+05,"full",1163.80169016363,26218.7686440228,2958.80597270908
11,5,1e+05,"truth",10.6543620361606,8.34702982689028,3.90030116569964
12,2,100,"full",31702511430875372,1e+16,1e+16
12,2,100,"truth",1145.54026706877,56637.430265718,11114.6488353998
12,2.2,158,"full",213247146764362,1e+16,1e+16
12,2.2,158,"truth",1195.62835672645,113722.866877557,13425.4741321977
12,2.4,251,"full",7759870196154.82,1e+16,1e+16
12,2.4,251,"truth",464.250386979755,20288.277315248,2034.57293891621
12,2.6,398,"full",235423881350.87,1e+16,1e+16
12,2.6,398,"truth",73.8382142093717,474.405222558175,52.1126337891145
12,2.8,631,"full",38928650019.7683,1e+16,9007199254740992
12,2.8,631,"truth",21.968024332807,66.6280148806433,7.53986714829956
12,3,1000,"full",416438572.348291,3002399751580330,22860911814063.4
12,3,1000,"truth",19.8251083178398,67.102511334876,8.99437130383207
12,3.2,1585,"full",54631.7290973036,49022721.8186828,2328209.28149986
12,3.2,1585,"truth",10.90109840328,11.8472006419073,3.74540971681976
12,3.4,2512,"full",924.143801400999,23065.7509791565,924.768347339532
12,3.4,2512,"truth",9.30394244168127,7.87694104251748,3.18849098658879
12,3.6,3981,"full",630.739362387033,13877.4774857064,389.916532134252
12,3.6,3981,"truth",8.86278754386418,6.87741584608243,2.88129324157851
12,3.8,6310,"full",657.264418932493,15821.1552272722,483.906387864417
12,3.8,6310,"truth",8.97922960681225,6.96642640963259,2.84082485396566
12,4,10000,"full",757.472704229868,19903.665144366,688.621033628896
12,4,10000,"truth",9.42892608214476,7.19483922171467,3.15805891806607
12,4.2,15849,"full",904.717387655886,26843.7295015799,955.641250171571
12,4.2,15849,"truth",9.94502492783443,7.58634318376032,3.50363010566965
