"trial","sweep","log10n","n","snr","design","term","degree","is_truth","vif"
0,"n",5,1e+05,49,"truth","x1^2 x3",3,TRUE,5.14154125803014
0,"n",5,1e+05,49,"truth","x2^2 x3",3,TRUE,3.07381195010581
0,"n",5,1e+05,49,"truth","x1^3 x3",4,TRUE,3.48843566081902
0,"n",5,1e+05,49,"truth","x3^3",3,TRUE,9.00998618336555
0,"n",5,1e+05,49,"selected","x3",1,TRUE,74.5303284633267
0,"n",5,1e+05,49,"selected","x1^2",2,TRUE,41.8779659924661
0,"n",5,1e+05,49,"selected","x2^2",2,TRUE,50.5599593871586
0,"n",5,1e+05,49,"selected","x1 x3",2,FALSE,46.6052935671507
0,"n",5,1e+05,49,"selected","x3^2",2,FALSE,2707.72404358061
0,"n",5,1e+05,49,"selected","x1^2 x3",3,TRUE,15.8692628653422
0,"n",5,1e+05,49,"selected","x2^2 x3",3,TRUE,6.78152825427828
0,"n",5,1e+05,49,"selected","x3^3",3,TRUE,14745.1938960885
0,"n",5,1e+05,49,"selected","x1^4",4,FALSE,61.4285194983048
0,"n",5,1e+05,49,"selected","x1^2 x2^2",4,FALSE,10.1428245522558
0,"n",5,1e+05,49,"selected","x2^4",4,FALSE,34.9209642102464
0,"n",5,1e+05,49,"selected","x1^3 x3",4,TRUE,39.249808248473
0,"n",5,1e+05,49,"selected","x1 x2^2 x3",4,FALSE,7.5744820257074
0,"n",5,1e+05,49,"selected","x3^4",4,FALSE,5650.24532635271
1,"n",5,1e+05,49,"full","x1",1,FALSE,732.276218541724
1,"n",5,1e+05,49,"full","x2",1,FALSE,1382.45294172626
1,"n",5,1e+05,49,"full","x3",1,TRUE,1634.35710975992
1,"n",5,1e+05,49,"full","x1^2",2,TRUE,4853.11113474493
1,"n",5,1e+05,49,"full","x1 x2",2,FALSE,1933.18192783517
1,"n",5,1e+05,49,"full","x2^2",2,TRUE,4270.40021958482
1,"n",5,1e+05,49,"full","x1 x3",2,FALSE,14676.7839483909
1,"n",5,1e+05,49,"full","x2 x3",2,FALSE,16090.0473427358
1,"n",5,1e+05,49,"full","x3^2",2,FALSE,13893.1056264892
