"system","eq","trial","snr","n","sg_order","sg_window","sigma","bp_lm","bp_p","bp_r2","white_lm","white_p","var_ratio","rho1","durbin_watson","sel_sigma","sel_bp_lm","sel_bp_p","sel_bp_r2","sel_white_lm","sel_white_p","sel_var_ratio","sel_rho1","sel_durbin_watson","selected","selected_intercept","screen_exact_truth","truth_in_selected","final","final_intercept","success","truth_in_final","n_spurious_final","truth_support_all_kept","var_e","var_d","var_g","var_h","var_dtrunc","var_dnoise","corr_e_d","corr_e_dtrunc","corr_e_g","r2_e_on_d","rho1_d","rho1_dtrunc","noise_sd_state"
"rossler",1,11,40,5000,4,13,1.07218431784354,1.39282148850686,0.237929195125237,0.000278564297701372,5.27478851270423,0.0715474612097448,1.30373355800188,0.678542149422322,0.636168156740956,1.07218500486325,1.39337363109462,0.237836199341166,0.000278674726218924,5.2785635777463,0.0714125404236573,1.30371004847631,0.678541502866978,0.636167918013341,"x2;x3",FALSE,TRUE,TRUE,"x2;x3",FALSE,TRUE,TRUE,0,TRUE,1.14957921142963,1.14735017534086,0.000889483708007927,0.00020952114083134,2.00683376807733e-08,1.1473662200003,0.999519295484323,-0.0500767574313698,0.0526523262993869,0.999038822045478,0.678384398381356,0.903247516367588,0.0554894529487272
"rossler",1,11,50,5000,4,13,0.337814565251349,0.227253653036212,0.633567723022483,4.54507306072424e-05,4.11997358115984,0.127455653498969,1.1619922264922,0.691483017736091,0.616657056755312,0.337814317622247,0.226914528162144,0.633821157507033,4.53829056324288e-05,4.1229097506031,0.127268675085041,1.16185946941183,0.691482252864948,0.616657079616057,"x2;x3",FALSE,TRUE,TRUE,"x2;x3",FALSE,TRUE,TRUE,0,TRUE,0.114118680495958,0.11407972505455,9.37152984626019e-05,1.22649625691478e-06,2.00683376807733e-08,0.114080752625826,0.999581016834272,-0.0115410164013393,0.0206111871201542,0.999162209215437,0.69152890914417,0.903247516367588,0.0175473057434725
"rossler",1,11,55,5000,4,13,0.188215730214054,10.5061048591418,0.00118980795639709,0.00210122097182835,66.9434307721628,2.90682380408309e-15,1.68577670640609,0.683533131161098,0.627765047572146,0.188215724320904,10.5049738238135,0.00119053645409529,0.0021009947647627,66.9358203328198,2.91790597888646e-15,1.68577666067807,0.683532715580464,0.627764997146967,"x2;x3",FALSE,TRUE,TRUE,"x2;x3",FALSE,TRUE,TRUE,0,TRUE,0.0354251611000097,0.0353799224481775,3.05016145939929e-05,1.23998266228959e-06,2.00683376807733e-08,0.0353767537413197,0.999542702938092,0.0573166998725916,0.0373168503733302,0.999085614996787,0.683287923776115,0.903247516367588,0.00986757516530452
"rossler",1,11,58,5000,4,13,0.131867440991053,22.3641296214934,2.25547495859296e-06,0.00447282592429868,64.1762622369261,1.15958268195351e-14,1.65678792354557,0.682930587249648,0.626631782612198,0.131867502116022,22.3581810865489,2.2624719275853e-06,0.00447163621730977,64.1576186506832,1.17044261018391e-14,1.65682959939887,0.682930182123211,0.626631572294562,"x2;x3",FALSE,TRUE,TRUE,"x2;x3",FALSE,TRUE,TRUE,0,TRUE,0.0173890219935288,0.0173576391531981,1.45012225125981e-05,2.22999550629731e-06,2.00683376807733e-08,0.0173597425960683,0.999522020126048,-0.0526251819504938,0.0484429368249528,0.999044268716856,0.682606981636635,0.903247516367588,0.00698570824037095
"rossler",1,11,61,5000,4,13,0.0939802565048576,1.27039563885456,0.259692471447473,0.000254079127770913,23.8122270304843,6.74901820181349e-06,1.41768746186463,0.677362639193288,0.637730138796004,0.0939802580870568,1.27065566235317,0.259643714129701,0.000254131132470634,23.8165025399031,6.73460586687557e-06,1.41766371844005,0.677363183804569,0.63773012688971,"x2;x3",FALSE,TRUE,TRUE,"x2;x3",FALSE,TRUE,TRUE,0,TRUE,0.00883228861271884,0.00885044210120928,7.14798399172716e-06,6.47551256288198e-07,2.00683376807733e-08,0.00885163500997734,0.999546113631971,-0.0401686333136305,-0.0201110196406747,0.999092433276778,0.677618213986042,0.903247516367588,0.00494550269970815
"rossler",1,11,Inf,5000,4,13,0.000134948642824402,209.431440810734,1.82772177973212e-47,0.0418862881621468,878.568345979102,1.6645915404944e-191,257596.013186803,0.866711290891124,0.247703520115097,0.000134829118653428,207.330747247674,5.25095695849618e-47,0.0414661494495348,863.152765907839,3.70474536488968e-188,144727.242101215,0.866501306384237,0.250395235998862,"x2;x3",TRUE,FALSE,TRUE,"x2;x3",TRUE,FALSE,FALSE,0,TRUE,1.82111362001479e-08,2.00683376807733e-08,7.14514600323931e-11,1.59042853426596e-09,2.00683376807733e-08,0,0.958012589799268,0.958012589799268,0.0852607150887995,0.9177881222139,0.903247516367588,0.903247516367588,0
"rossler",1,12,20,5000,4,13,10.1630710102303,8.15834088152492,0.0042863565623782,0.00163166817630498,14.8236820014293,0.000604057599772439,1.3979505760659,0.675427413806699,0.641263394181136,10.1630619255636,8.16021504446664,0.00428192938553226,0.00163204300889333,14.8249093678357,0.000603687013492605,1.39792032900398,0.675428696526599,0.641262344180582,"x2;x3",FALSE,TRUE,TRUE,"x2;x3",FALSE,TRUE,TRUE,0,TRUE,103.288012358983,103.130665668677,0.0915617129952115,0.00508591515481712,5.79137267601756e-08,103.131031907378,0.999520732526318,-0.0733044468602889,0.0421164418649898,0.999041694749947,0.67540658205865,0.801243165858382,0.530085803130528
"rossler",1,12,30,5000,4,13,3.09018207067979,0.572848119971653,0.449129363864091,0.000114569623994331,10.2757434371252,0.00587016980147786,1.29901283495021,0.679620556518888,0.640048648460238,3.09018201563741,0.572614204013448,0.449221967389822,0.00011452284080269,10.2749487759792,0.00587250266283636,1.29900668665595,0.679620629947523,0.640048551803574,"x2;x3",FALSE,TRUE,TRUE,"x2;x3",FALSE,TRUE,TRUE,0,TRUE,9.54922522995084,9.54000824544632,0.00926070231401784,1.20946246404805e-05,5.79137267601756e-08,9.53996158369028,0.999514156818514,0.0319138437154301,0.0310829326266434,0.999028549680624,0.679120098593802,0.801243165858382,0.167627849321208
"rossler",1,12,40,5000,4,13,1.00050669163199,11.1113018352976,0.000858032426007725,0.00222226036705953,14.5422958607218,0.000695313364140973,1.41302674936728,0.67465813734468,0.648603781214512,1.0005066489062,11.1105773038541,0.000858367686240277,0.00222211546077081,14.542861032062,0.000695116906307427,1.41302667918661,0.674658447377054,0.648603704589379,"x2;x3",FALSE,TRUE,TRUE,"x2;x3",FALSE,TRUE,TRUE,0,TRUE,1.00101364000038,1.00107087222508,0.000906656040168812,1.34258827358744e-06,5.79137267601756e-08,1.00108785646469,0.999547908293839,-0.0351950039043585,0.014069678251352,0.999096020974588,0.674595048969302,0.801243165858382,0.0530085803130528
"rossler",1,12,50,5000,4,13,0.321711399072551,0.362179529338884,0.547298265399081,7.24359058677767e-05,1.41731337873334,0.492305072119829,1.67897162722746,0.68006584848664,0.63053593107643,0.321711051760194,0.362152698221225,0.547313106002195,7.24305396442451e-05,1.41797640599349,0.492141893327758,1.67895677719707,0.680065042519629,0.630536268859423,"x2;x3",FALSE,TRUE,TRUE,"x2;x3",FALSE,TRUE,TRUE,0,TRUE,0.103498224293218,0.103634298305652,9.29714745109177e-05,3.2594406674727e-07,5.79137267601756e-08,0.103634936701037,0.999550768160372,-0.0048191624848065,-0.00695471322227143,0.999101738129989,0.680668423817805,0.801243165858382,0.0167627849321208
