"trial","log10n","n","snr","variant","p_selected","truth_in_selected","n_spurious_selected","p_final","success","truth_in_final","n_spurious_final","selected"
5,4.4,25119,49,"min/1se",16,FALSE,10,15,FALSE,FALSE,8,"x3;x1^2;x2^2;x2^2 x3;x1 x3^2;x3^3;x1^4;x1^2 x2^2;x2^4;x1^3 x3;x1^2 x2 x3;x1^2 x3^2;x2^2 x3^2;x3^4;x1^4 x3;x1^2 x2^2 x3"
5,4.4,25119,49,"1se/1se",16,FALSE,11,14,FALSE,FALSE,8,"x3;x1^2;x2^2;x1^3;x1 x2^2;x1 x3^2;x3^3;x1^4;x1^2 x2^2;x2^4;x1^3 x3;x1^2 x2 x3;x1^2 x3^2;x2^2 x3^2;x3^4;x1^2 x2^2 x3"
6,4.4,25119,49,"min/min",12,TRUE,5,8,TRUE,TRUE,0,"x3;x1^2;x2^2;x1 x3;x3^2;x1^2 x3;x2^2 x3;x3^3;x1^2 x2^2;x2^4;x1^3 x3;x3^4"
6,4.4,25119,49,"min/1se",12,TRUE,5,8,TRUE,TRUE,0,"x3;x1^2;x2^2;x1 x3;x1^2 x3;x2^2 x3;x3^3;x1^4;x1^2 x2^2;x2^4;x1^3 x3;x3^4"
6,4.4,25119,49,"1se/1se",12,TRUE,5,8,TRUE,TRUE,0,"x3;x1^2;x2^2;x1 x3;x1^2 x3;x2^2 x3;x3^3;x1^4;x1^2 x2^2;x2^4;x1^3 x3;x3^4"
7,4.4,25119,49,"min/min",29,TRUE,22,8,TRUE,TRUE,0,"x1;x3;x1^2;x2^2;x1 x3;x3^2;x1^3;x1^2 x2;x1 x2^2;x1^2 x3;x2^2 x3;x2 x3^2;x3^3;x1^4;x1^2 x2^2;x2^4;x1^3 x3;x1 x2^2 x3;x1^2 x3^2;x2^2 x3^2;x1 x3^3;x2 x3^3;x3^4;x1^4 x3;x1^2 x2^2 x3;x1 x2^3 x3;x2^4 x3;x1^2 x3^3;x2^2 x3^3"
7,4.4,25119,49,"min/1se",15,FALSE,11,16,FALSE,FALSE,11,"x3;x1^2;x2^2;x1 x3;x1^3;x2 x3^2;x3^3;x1^2 x2^2;x2^4;x1^2 x3^2;x2^2 x3^2;x3^4;x1^4 x3;x1^2 x2^2 x3;x2^4 x3"
7,4.4,25119,49,"1se/1se",25,FALSE,19,24,FALSE,FALSE,17,"x1;x3;x1^2;x1 x2;x2^2;x1 x3;x2 x3;x3^2;x1^3;x1^2 x2;x1 x2^2;x2^3;x1^2 x3;x1 x2 x3;x2^2 x3;x1 x3^2;x2 x3^2;x3^3;x1^4;x1^3 x2;x1^2 x2^2;x1^2 x2 x3;x1^2 x3^2;x2 x3^3;x3^4"
8,4.4,25119,49,"min/min",14,FALSE,8,15,FALSE,FALSE,8,"x3;x1^2;x2^2;x1^2 x3;x3^3;x1^4;x1^2 x2^2;x2^4;x1^3 x3;x1^2 x3^2;x2^2 x3^2;x3^4;x1^2 x2^2 x3;x2^4 x3"
8,4.4,25119,49,"min/1se",20,FALSE,14,19,FALSE,FALSE,12,"x1;x3;x1^2;x1 x2;x2^2;x1^3;x1^2 x3;x1 x3^2;x2 x3^2;x3^3;x1^4;x1^2 x2^2;x2^4;x1^3 x3;x1^2 x3^2;x2^2 x3^2;x3^4;x1^4 x3;x1^2 x2^2 x3;x2^4 x3"
