"trial","sweep","log10n","n","snr","design","p","kappa","vif_max","vif_median","n_vif_gt10"
12,"snr",3.69897000433602,5000,40,"trimmed",55,629.071200327238,14435.4606963005,396.560685300987,55
12,"snr",3.69897000433602,5000,40,"truth",7,8.83371615906751,6.81019775780877,2.84102162446941,0
12,"snr",3.69897000433602,5000,40,"selected",22,113.783104501961,677.720314700907,23.3747125980528,17
12,"snr",3.69897000433602,5000,45,"full",55,631.237135900323,14537.3646994187,397.414428732141,55
12,"snr",3.69897000433602,5000,45,"trimmed",55,631.237135900323,14537.3646994187,397.414428732141,55
12,"snr",3.69897000433602,5000,45,"truth",7,8.84117121354525,6.82097446835011,2.83679184249717,0
12,"snr",3.69897000433602,5000,45,"selected",34,137.747673794681,828.543810188166,46.9063443339372,31
12,"snr",3.69897000433602,5000,50,"full",55,633.001795308896,14623.1935880172,397.925035660816,55
12,"snr",3.69897000433602,5000,50,"trimmed",34,132.331787195921,853.350343692115,47.1810156507854,33
12,"snr",3.69897000433602,5000,50,"truth",7,8.83873392236226,6.81632966388169,2.8361164001607,0
12,"snr",3.69897000433602,5000,50,"selected",13,12.0322689539322,15.4436189544687,4.42360375012219,3
12,"snr",3.69897000433602,5000,55,"full",55,632.818506122367,14607.1896636686,397.829503563001,55
12,"snr",3.69897000433602,5000,55,"trimmed",34,132.329451838182,852.900982654957,47.2060525922102,33
12,"snr",3.69897000433602,5000,55,"truth",7,8.84052826032999,6.81884208062523,2.83719827991939,0
12,"snr",3.69897000433602,5000,55,"selected",16,29.4647665120297,54.5577094176614,11.4767370856275,9
12,"snr",3.69897000433602,5000,60,"full",55,633.104014846635,14615.7687659875,396.718180143766,55
12,"snr",3.69897000433602,5000,60,"trimmed",34,132.358368575208,853.217568786865,47.229721577378,33
12,"snr",3.69897000433602,5000,60,"truth",7,8.84059707084166,6.81872810330146,2.83606784575014,0
12,"snr",3.69897000433602,5000,60,"selected",20,42.1668046967277,162.564582595007,18.5266590315041,12
12,"snr",3.69897000433602,5000,Inf,"full",55,632.997814849813,14613.1763207834,397.266383158465,55
