"trial","sweep","log10n","n","snr","trimmed_p","trimmed_max_degree","selected","selected_intercept","screen_exact_truth","truth_in_selected","seconds"
0,"n",4.8,63096,49,55,5,"x3;x1^2;x2^2;x1 x3;x3^2;x1^2 x3;x2^2 x3;x3^3;x1^4;x1^2 x2^2;x1^3 x3;x1 x2^2 x3;x3^4",TRUE,FALSE,TRUE,37.697774887085
1,"n",4.8,63096,49,55,5,"x1;x2;x3;x1^2;x1 x2;x2^2;x1 x3;x2 x3;x3^2;x1^3;x1^2 x2;x2^3;x1 x2 x3;x2^2 x3;x1 x3^2;x3^3;x1^4;x1^3 x2;x1^2 x2^2;x1 x2^3;x2^4;x1^2 x2 x3;x1 x2^2 x3;x2^3 x3;x1^2 x3^2;x1 x2 x3^2;x2^2 x3^2;x1 x3^3;x2 x3^3;x3^4;x1^3 x2^2;x1^2 x2^3;x1 x2^4;x2^5;x1^4 x3;x1^3 x2 x3;x1^2 x2^2 x3;x1 x2^3 x3;x1^2 x2 x3^2;x2^3 x3^2;x1 x3^4;x3^5",TRUE,FALSE,FALSE,42.9075767993927
2,"n",4.8,63096,49,55,5,"x2;x3;x1^2;x2^2;x1 x3;x3^2;x1 x2^2;x2^3;x1^2 x3;x1 x2 x3;x2^2 x3;x3^3;x1^4;x1^2 x2^2;x2^4;x1^3 x3;x3^4;x1^3 x2 x3;x1 x2^3 x3",TRUE,FALSE,TRUE,39.8705613613129
3,"n",4.8,63096,49,55,5,"x1;x2;x3;x1^2;x2^2;x2 x3;x1^2 x2;x1^2 x3;x2^2 x3;x1 x3^2;x2 x3^2;x3^3;x1^4;x1^2 x2^2;x2^4;x1^3 x3;x1 x2^2 x3;x2^3 x3;x1^2 x3^2;x2^2 x3^2;x1 x3^3;x1^3 x2^2;x1^2 x2^3;x1^4 x3;x1^2 x2^2 x3;x2^4 x3;x1^3 x3^2;x1^2 x2 x3^2;x2^3 x3^2;x1^2 x3^3",TRUE,FALSE,TRUE,36.2149896621704
4,"n",4.8,63096,49,55,5,"x3;x1^2;x2^2;x1 x3;x1^2 x3;x2^2 x3;x3^3;x1^2 x2^2;x2^4;x1^3 x3;x2^2 x3^2;x3^4",TRUE,FALSE,TRUE,36.9228775501251
5,"n",4.8,63096,49,55,5,"x2;x3;x1^2;x2^2;x3^2;x1^3;x1^2 x2;x1 x2^2;x2^2 x3;x1 x3^2;x3^3;x1^4;x1^2 x2^2;x2^4;x1^3 x3;x1^2 x3^2;x2^2 x3^2;x3^4;x1^4 x3;x1^2 x2^2 x3;x2^4 x3;x1^2 x2 x3^2;x1 x2^2 x3^2",TRUE,FALSE,FALSE,37.0889973640442
6,"n",4.8,63096,49,55,5,"x3;x1^2;x2^2;x1 x3;x3^2;x1^2 x3;x2^2 x3;x3^3;x1^4;x1^2 x2^2;x2^4;x1^3 x3;x3^4",TRUE,FALSE,TRUE,37.7175447940826
7,"n",4.8,63096,49,55,5,"x1;x3;x1^2;x2^2;x1 x3;x3^2;x1^3;x1^2 x2;x1^2 x3;x2 x3^2;x3^3;x1^4;x1^2 x2^2;x2^4;x1^3 x3;x1 x2^2 x3;x1^2 x3^2;x1 x2 x3^2;x2^2 x3^2;x1 x3^3;x3^4;x1^4 x3;x1^3 x2 x3;x1^2 x2^2 x3;x1 x2^3 x3;x2^4 x3;x2^2 x3^3",TRUE,FALSE,FALSE,36.6802861690521
8,"n",4.8,63096,49,55,5,"x1;x3;x1^2;x2^2;x3^2;x1^2 x3;x1 x3^2;x2 x3^2;x3^3;x1^4;x1^2 x2^2;x1 x2^3;x2^4;x1^3 x3;x1^2 x3^2;x2^2 x3^2;x3^4;x1^2 x2^2 x3;x2^4 x3",TRUE,FALSE,FALSE,37.6125912666321
9,"n",4.8,63096,49,55,5,"x3;x1^2;x1 x2;x2^2;x1 x3;x2 x3;x3^2;x1^3;x2^2 x3;x2 x3^2;x3^3;x1^4;x1^2 x2^2;x2^4;x1^3 x3;x1^2 x2 x3;x1 x2^2 x3;x2^3 x3;x1^2 x3^2;x1 x2 x3^2;x2^2 x3^2;x1 x3^3;x2 x3^3;x3^4;x1^4 x2;x1^2 x2^3;x1 x2^4;x1^4 x3;x1^2 x2^2 x3;x1 x2^3 x3;x2^4 x3;x1 x2^2 x3^2;x1^2 x3^3;x2^2 x3^3;x1 x3^4;x3^5",TRUE,FALSE,FALSE,38.7730889320374
