"system","eq","snr","log10n","arm","trials","success","intercept_kept","n_selected","n_kept","spurious_kept","ols_int_med","ols_int_se_med","ols_int_t_med","sigma_med","rho1_med","det_sd_med","det_max_med","K_med","t_stan_med"
"dadras",1,49,5,"sg",20,0.7,0.3,3,3,0,0.00426787632147958,0.0013861358165308,3.13255078156619,0.419375332368658,0.779227869262185,0.3714601875239,24.5923030318982,1e+05,26.2961431741715
"dadras",1,49,5,"weak/raw/m=1w/p=4",20,1,0,3,3,0,-4.23605067264126e-05,0.000450116805610952,-0.0944534605480093,0.0553828948274687,0.0699808261486708,0.000420357790238412,0.00329542157026807,16663,5.56666350364685
"dadras",1,49,5,"weak/raw/m=1w/p=8",20,1,0,3,3,0,-1.30973767606738e-05,0.000679632123180677,-0.0192773887039914,0.0838836222457253,-0.301250820815845,1.08934170129626e-06,8.76044407505105e-06,16663,5.23337888717652
"dadras",1,49,5,"weak/raw/m=2w/p=4",20,1,0,3,3,0,-3.92231212696973e-05,0.0002707955729979,-0.145550279695615,0.0225804401566843,0.115498854895209,1.90414464217434e-05,9.83127456617439e-05,7689,3.89396500587463
"dadras",1,49,5,"weak/raw/m=2w/p=8",20,1,0,3,3,0,-2.61255796995428e-05,0.000388706273826618,-0.0669779050202258,0.0323999176234745,-0.256615014188222,5.67705235136513e-07,4.25877624365967e-06,7689,3.66418850421906
"dadras",1,49,5,"weak/smoothed/m=1w/p=4",20,1,0,3,3,0,-1.59824967088715e-05,0.000450623195412001,-0.0355622525053461,0.0554917962341868,0.0680596468355315,0.000420357790238412,0.00329542157026807,16663,5.56922018527985
"dadras",1,49,5,"weak/smoothed/m=1w/p=8",20,1,0,3,3,0,4.23519889273156e-05,0.000678031934316493,0.0624559345611297,0.0838160096270351,-0.302958201211548,1.08934170129626e-06,8.76044407505105e-06,16663,5.27997219562531
"dadras",1,49,5,"weak/smoothed/m=2w/p=4",20,1,0,3,3,0,-5.13948859974588e-05,0.000270815809790397,-0.190542719043457,0.0225887362048643,0.115158200170726,1.90414464217434e-05,9.83127456617439e-05,7689,4.07257783412934
"dadras",1,49,5,"weak/smoothed/m=2w/p=8",20,1,0,3,3,0,-3.75519397169285e-05,0.000388569546204726,-0.0962300003799034,0.0324026727019341,-0.256832176802978,5.67705235136513e-07,4.25877624365967e-06,7689,3.59247803688049
"dadras",1,49,5.5,"sg",20,0,1,3,3,0,0.00439444653525191,0.00080212239824692,5.76464631108118,0.429694714734633,0.778046876771441,0.382512383771064,39.8667256006329,316228,95.5936834812165
"dadras",1,49,5.5,"weak/raw/m=1w/p=4",20,1,0,3,3,0,4.23124636360867e-05,0.000253161257418821,0.166847543272462,0.0553824154911518,0.0687558317438021,0.000419551659393532,0.0035335499150051,52701,14.8809180259704
"dadras",1,49,5.5,"weak/raw/m=1w/p=8",20,1,0,3,3,0,3.66343814691097e-05,0.000383127159159426,0.0958056061619234,0.0838823541519052,-0.303441185290121,1.090867815841e-06,8.96782599824064e-06,52701,14.7226172685623
"dadras",1,49,5.5,"weak/raw/m=2w/p=4",20,1,0,3,3,0,4.04197437907623e-05,0.000151927078567614,0.265702460252214,0.0224905624386776,0.112798946868956,1.8995740976835e-05,0.000104677102821249,24322,8.71139788627625
"dadras",1,49,5.5,"weak/raw/m=2w/p=8",20,1,0,3,3,0,4.33307360726211e-05,0.000217462661819856,0.199206903808541,0.0322916088266588,-0.257808825334354,5.66697647906337e-07,4.56775904567053e-06,24322,8.35534310340882
"dadras",1,49,5.5,"weak/smoothed/m=1w/p=4",20,1,0,3,3,0,7.29183185561564e-05,0.000253651548721166,0.286643546564503,0.055485582943794,0.0671535374882504,0.000419551659393532,0.0035335499150051,52701,14.924880862236
"dadras",1,49,5.5,"weak/smoothed/m=1w/p=8",20,1,0,3,3,0,0.000109196468001992,0.000382065474518676,0.282791451554062,0.0837589189356059,-0.302799923126203,1.090867815841e-06,8.96782599824064e-06,52701,15.015450000763
"dadras",1,49,5.5,"weak/smoothed/m=2w/p=4",20,1,0,3,3,0,2.48931783499218e-05,0.000151961333542756,0.16377672480165,0.0224918250400684,0.112587006400895,1.8995740976835e-05,0.000104677102821249,24322,8.06231677532196
"dadras",1,49,5.5,"weak/smoothed/m=2w/p=8",20,1,0,3,3,0,3.86500185056118e-05,0.000217499703105999,0.177623918354451,0.0323115327730706,-0.258380638478544,5.66697647906337e-07,4.56775904567053e-06,24322,8.36194586753845
"rossler",3,61,3.69897000433602,"sg",20,1,1,2,2,0,0.200121605427841,0.000780052689631189,257.24411200375,0.0524072807600181,0.686877624476323,0.00193163157089229,0.0697855707025212,5000,4.14973878860474
"rossler",3,61,3.69897000433602,"weak/raw/m=1w/p=4",20,1,1,2,2,0,0.200101714701027,0.000495629868267224,403.589236393412,0.0134824743807179,0.138769631734635,0.000369802142973768,0.0024668619226958,829,2.84820759296418
"rossler",3,61,3.69897000433602,"weak/raw/m=1w/p=8",20,1,1,2,2,0,0.200078001041853,0.000719798326205669,278.194783948295,0.0196098365186268,-0.245448552248496,1.04170106801665e-06,1.08299315712545e-05,829,2.52608668804169
"rossler",3,61,3.69897000433602,"weak/raw/m=2w/p=4",20,1,1,2,2,0,0.200081361449549,0.000337707199708973,592.898525080607,0.00623949047822907,0.239907092457091,1.90631706726962e-05,0.000113845467037521,381,3.29809844493866
"rossler",3,61,3.69897000433602,"weak/raw/m=2w/p=8",20,1,1,2,2,0,0.200071272342613,0.000462979740544151,432.043252706912,0.00851038096297971,-0.126525442422992,6.8702765329906e-07,6.0843275040412e-06,381,2.97806906700134
"rossler",3,61,3.69897000433602,"weak/smoothed/m=1w/p=4",20,1,1,2,2,0,0.200098709057696,0.000494679099000502,404.369898339459,0.0134581563413371,0.142318674089357,0.000369802142973768,0.0024668619226958,829,2.89438021183013
"rossler",3,61,3.69897000433602,"weak/smoothed/m=1w/p=8",20,1,1,2,2,0,0.200080676337892,0.000711789561325209,281.328128021741,0.019391650152365,-0.234585923948778,1.04170106801665e-06,1.08299315712545e-05,829,2.5283442735672
