"system","eq","trial","snr","log10n","n","sg_order","sg_window","states","m","p","stride","arm","K","selected","selected_intercept","n_selected","kept","kept_intercept","n_kept","n_true_kept","n_spurious_selected","n_spurious_kept","success","max_rel_coef_err","int_mean","int_lo","int_hi","ols_int_true_support","ols_int_se","ols_int_t","sigma_true_support","rho1_true_support","sigma_kept","det_error_mean","det_error_sd","det_error_max","t_stan_s"
"rossler",3,4,Inf,3.69897000433602,5000,4,13,"raw",26,4,13,"weak/raw/m=2w/p=4",381,"x3;x1 x3",TRUE,2,"x3;x1 x3",TRUE,2,2,0,0,TRUE,2.33748102296261e-06,0.200000256269068,0.199999758381505,0.200000752900106,0.2000002462941,3.02525887195766e-07,661101.263590971,5.58179689980194e-06,0.417988724126996,5.58179970043021e-06,-2.75491617757734e-07,2.09805351593502e-05,0.000112957055993956,119.874476194382
"rossler",3,4,Inf,3.69897000433602,5000,4,13,"raw",26,8,13,"weak/raw/m=2w/p=8",381,"x3;x1 x3",TRUE,2,"x3;x1 x3",TRUE,2,2,0,0,TRUE,1.18972733886835e-08,0.19999999715115,0.199999853448512,0.200000142610256,0.199999997538873,4.03348627516858e-08,4958489.60166635,7.45091992144174e-07,-0.138099928089435,7.45093290895879e-07,2.63008234212288e-08,7.58844998125421e-07,6.81796982321403e-06,22.7704050540924
"rossler",3,4,Inf,3.69897000433602,5000,4,13,"smoothed",13,4,6,"weak/smoothed/m=1w/p=4",829,"x3;x1 x3",TRUE,2,"x3;x1 x3",TRUE,2,2,0,0,TRUE,4.31663748658332e-05,0.200007137803057,0.200004114500923,0.200010113299743,0.200007187747646,1.78065237272977e-06,112322.422282251,4.8611523755629e-05,0.678873981375177,4.86115371754795e-05,-6.41736949955887e-06,0.000409179578348546,0.00294583252437236,30.302971124649
"rossler",3,4,Inf,3.69897000433602,5000,4,13,"smoothed",13,8,6,"weak/smoothed/m=1w/p=8",829,"x3;x1 x3",TRUE,2,"x3;x1 x3",TRUE,2,2,0,0,TRUE,6.37628805583839e-07,0.200000366748221,0.199999120806386,0.200001608122702,0.200000364986811,7.39116413782421e-07,270593.862154016,2.0184502204752e-05,0.594333119087867,2.01845223110843e-05,2.2901791038678e-08,1.11202931585062e-06,9.22181352508433e-06,24.9188256263733
"rossler",3,4,Inf,3.69897000433602,5000,4,13,"smoothed",26,4,13,"weak/smoothed/m=2w/p=4",381,"x3;x1 x3",TRUE,2,"x3;x1 x3",TRUE,2,2,0,0,TRUE,2.04713920171073e-06,0.200000333445745,0.199999343449154,0.200001393753633,0.200000345422063,6.12713743468078e-07,326417.266715812,1.1304962006027e-05,0.0361886375194903,1.13049628577237e-05,-2.75491617757734e-07,2.09805351593502e-05,0.000112957055993956,41.6926703453064
"rossler",3,4,Inf,3.69897000433602,5000,4,13,"smoothed",26,8,13,"weak/smoothed/m=2w/p=8",381,"x3;x1 x3",TRUE,2,"x3;x1 x3",TRUE,2,2,0,0,TRUE,3.26703585042864e-07,0.200000069756583,0.199999075664474,0.200001068780157,0.200000080373103,5.93550598333511e-07,336955.401838756,1.09644552025199e-05,-0.269786102293383,1.09644638823768e-05,2.63008234212288e-08,7.58844998125421e-07,6.81796982321403e-06,35.0781047344208
"rossler",3,5,Inf,3.69897000433602,5000,4,13,"smoothed",NA,NA,NA,"sg",5000,"x3;x1 x3",TRUE,2,"x3;x1 x3",TRUE,2,2,0,0,TRUE,2.1544342421409e-05,0.200022248960991,0.199949036608915,0.200095641440824,0.2000229324975,4.41062377378624e-05,4535.02594545244,0.00299471906530221,0.647764234661616,0.00299471936915547,-5.95053417459978e-06,0.00300687783608624,0.156855612954172,12.7736887931824
"rossler",3,5,Inf,3.69897000433602,5000,4,13,"raw",13,4,6,"weak/raw/m=1w/p=4",829,"x3;x1 x3",TRUE,2,"x3;x1 x3",TRUE,2,2,0,0,TRUE,4.29908435149753e-05,0.200007435200896,0.200005311987124,0.200009551225481,0.200007408962081,1.2396633885844e-06,161340.095064414,3.42444574601392e-05,0.834003289074057,3.42445365965252e-05,-6.22980055082497e-06,0.000428324617476296,0.00247019510410668,16.3552889823914
"rossler",3,5,Inf,3.69897000433602,5000,4,13,"raw",13,8,6,"weak/raw/m=1w/p=8",829,"x3;x1 x3",TRUE,2,"x3;x1 x3",TRUE,2,2,0,0,TRUE,2.6362987792794e-08,0.200000005584481,0.199999172077386,0.200000808754132,0.200000003848782,4.05962511390032e-08,4926563.3706909,1.12173873258642e-06,0.425709995394412,1.12178249565664e-06,4.50496066424618e-08,1.16505462704443e-06,1.00994808935329e-05,19.1698744297028
"rossler",3,5,Inf,3.69897000433602,5000,4,13,"raw",26,4,13,"weak/raw/m=2w/p=4",381,"x3;x1 x3",TRUE,2,"x3;x1 x3",TRUE,2,2,0,0,TRUE,2.28559208048651e-06,0.200000274515746,0.199999751553841,0.200000804192488,0.200000283245322,3.04199819541629e-07,657463.517061529,5.68150800142897e-06,0.414861101693145,5.68150863313251e-06,-2.39115727697996e-07,2.17276856191356e-05,0.000115334898876551,43.9049594402313
"rossler",3,5,Inf,3.69897000433602,5000,4,13,"raw",26,8,13,"weak/raw/m=2w/p=8",381,"x3;x1 x3",TRUE,2,"x3;x1 x3",TRUE,2,2,0,0,TRUE,7.51752999032138e-09,0.199999994318545,0.199999822729587,0.200000153823234,0.199999998409349,3.84284943286288e-08,5204471.36697602,7.18436503526701e-07,-0.401474665045849,7.18440735593028e-07,4.74803911077196e-08,7.38798163575725e-07,5.94701725448177e-06,38.3273661136627
"rossler",3,5,Inf,3.69897000433602,5000,4,13,"smoothed",13,4,6,"weak/smoothed/m=1w/p=4",829,"x3;x1 x3",TRUE,2,"x3;x1 x3",TRUE,2,2,0,0,TRUE,4.26489260495625e-05,0.200007251160259,0.200004388585618,0.200010161112195,0.200007270210681,1.7453880820806e-06,114591.861984219,4.82145946361796e-05,0.703970352148159,4.82146633024613e-05,-6.22980055082497e-06,0.000428324617476296,0.00247019510410668,13.0682091712952
