"sweep","value","trial","pass2","final"
"snr",21,57,"(Intercept)|x3|x1^2|x1x2|x2^2|x1^2x3|x2^2x3|x1^3x2|x1x2^3|x2^4|x1^3x3|x1^2x2x3|x1x2^2x3|x1x2x3^2|x3^4|x1^2x2x3^2","(Intercept)|x3|x1^2|x2^2|x1^2x3|x2^2x3|x1^3x2|x1x2^3|x1^3x3|x3^4"
"snr",21,58,"(Intercept)|x3|x1^2|x2^2|x1^2x3|x1x2^2x3|x2^2x3^2|x3^4","(Intercept)|x3|x1^2|x2^2|x1^2x3|x1x2^2x3|x2^2x3^2|x3^4"
"snr",21,59,"(Intercept)|x3|x1^2|x2^2|x1^2x2^2|x1^2x3^2|x2^2x3^2|x3^4","(Intercept)|x3|x1^2|x2^2|x1^2x3^2|x2^2x3^2|x3^4"
"snr",21,60,"(Intercept)|x3|x1^2|x2^2|x1x3|x1^2x3|x2^2x3|x3^3","(Intercept)|x3|x1^2|x2^2|x1x3|x1^2x3|x2^2x3|x3^3"
"snr",21,61,"(Intercept)|x3|x1^2|x2^2|x1x2x3|x3^3|x1^4|x1x2^2x3|x2^3x3|x1^2x3^2|x2^2x3^2|x1x3^3|x3^4|x1^2x2^2x3|x1x2^3x3|x1x2x3^3","(Intercept)|x3|x1^2|x2^2|x3^3|x1^2x3^2|x1^2x2^2x3|x1x2x3^3"
"snr",21,62,"(Intercept)|x3|x1^2|x2^2|x1^2x3|x3^3|x2^2x3^2","(Intercept)|x3|x1^2|x2^2|x1^2x3|x3^3|x2^2x3^2"
"snr",21,63,"(Intercept)|x3|x1^2|x2^2|x1x2x3|x3^3|x1^4|x1^2x2^2|x2^4|x1x2^2x3|x1x2x3^2|x1^3x2x3|x1^2x2^2x3|x1x2^3x3","(Intercept)|x3|x1^2|x2^2|x3^3|x1^2x2^2"
"snr",21,64,"(Intercept)|x3|x1^2|x2^2|x2x3|x3^2|x1x2^2|x1x2x3|x2^2x3|x1x3^2|x3^3|x1^3x2|x1^3x3|x1^2x2x3|x1x2^2x3|x1^4x2|x1^2x2^3|x1^3x2x3|x1^2x2^2x3|x1x2^3x3|x1x2^2x3^2","(Intercept)|x3|x1^2|x2^2|x1x2x3|x3^3|x1^3x3|x1^2x2x3|x1^4x2|x1^3x2x3|x1x2^3x3"
"snr",21,65,"(Intercept)|x3|x1^2|x1^2x3|x1x2x3|x2^2x3|x2x3^2|x3^3|x1^2x2^2|x1x2^2x3|x1x2x3^2|x2^2x3^2|x2x3^3|x1^3x2x3|x1^2x2^2x3|x2^4x3|x1^3x3^2|x1^2x2x3^2|x1x2^2x3^2|x1x2x3^3","(Intercept)|x3|x1^2|x1^2x3|x3^3|x1^2x2^2|x2^2x3^2|x1^3x2x3|x1^2x2^2x3|x2^4x3"
"snr",21,66,"(Intercept)|x3|x1^2|x2^2|x3^3|x1^4|x1^2x2^2|x1^2x3^2|x2^2x3^2","(Intercept)|x3|x1^2|x2^2|x3^3|x1^4|x1^2x3^2|x2^2x3^2"
"snr",21,67,"(Intercept)|x3|x1^2|x2^2|x1^2x3|x1^2x2^2|x2^4|x2^2x3^2|x3^4","(Intercept)|x3|x1^2|x2^2|x1^2x3|x2^2x3^2|x3^4"
"snr",21,68,"(Intercept)|x3|x1^2|x2^2|x2^2x3|x3^3|x1^3x2|x1^2x2^2|x1x2^3","(Intercept)|x3|x1^2|x2^2|x2^2x3|x3^3|x1^3x2"
"snr",21,69,"(Intercept)|x3|x1^2|x2^2|x1^2x3|x3^3|x1^2x2^2|x2^2x3^2","(Intercept)|x3|x1^2|x2^2|x1^2x3|x3^3|x2^2x3^2"
"snr",21,70,"(Intercept)|x3|x1^2|x2^2|x2^2x3^2|x3^4|x1^2x2^2x3","(Intercept)|x3|x1^2|x2^2|x2^2x3^2|x3^4|x1^2x2^2x3"
"snr",21,71,"(Intercept)|x3|x1^2|x2^2|x1^2x3|x2^2x3|x3^3|x1^2x2^2","(Intercept)|x3|x1^2|x2^2|x1^2x3|x2^2x3|x3^3"
"snr",21,72,"(Intercept)|x3|x1^2|x2^2|x1^2x3|x2^2x3|x3^3|x1^2x2^2","(Intercept)|x3|x1^2|x2^2|x1^2x3|x2^2x3|x3^3|x1^2x2^2"
"snr",21,73,"(Intercept)|x3|x1^2|x2^2|x1^4|x1^3x2|x1^2x2x3|x1^2x3^2|x2^2x3^2|x3^4","(Intercept)|x3|x1^2|x2^2|x1^4|x1^3x2|x1^2x3^2|x2^2x3^2|x3^4"
"snr",21,74,"(Intercept)|x3|x1^2|x2^2|x1^4|x1^3x2|x1^2x2^2|x1^2x3^2|x3^4|x1^3x2x3","(Intercept)|x3|x1^2|x2^2|x1^4|x1^3x2|x1^2x3^2|x3^4"
"snr",21,75,"(Intercept)|x3|x1^2|x2^2|x3^3|x1^2x2^2|x2^4|x1^3x3|x1^2x2x3|x1x2^2x3|x1^2x3^2|x1x2^4|x1^2x2^2x3|x1x2^2x3^2","(Intercept)|x3|x1^2|x2^2|x3^3|x1^3x3|x1x2^2x3|x1^2x3^2|x1x2^4|x1x2^2x3^2"
"snr",21,76,"(Intercept)|x3|x1x2|x2^2|x1^2x3|x2^2x3|x1x3^2|x3^3|x1^4|x2^4|x1^3x3|x1^2x2x3|x1x2^2x3|x2^3x3|x1^3x2^2|x1^2x2^3|x2^5|x1^2x2^2x3|x1x2^3x3|x1^2x2x3^2","(Intercept)|x3|x1x2|x2^2|x1x3^2|x3^3|x1^4|x2^3x3|x1^3x2^2|x2^5|x1^2x2^2x3"
"snr",21,77,"(Intercept)|x3|x1^2|x2^2|x1^2x3|x2^2x3|x3^3|x1^2x2^2|x1^3x2^2","(Intercept)|x3|x1^2|x2^2|x1^2x3|x2^2x3|x3^3"
"snr",21,78,"(Intercept)|x3|x1^2|x1x2|x2^2|x1x3|x1^2x2|x1x2^2|x2^3|x1^2x3|x2^2x3|x2x3^2|x3^3|x1^4|x1^3x2|x1^2x2^2|x1x2^3|x2^4|x1^2x2x3","(Intercept)|x3|x1^2|x2^2|x1x2^2|x2^3|x1^2x3|x3^3"
"snr",21,79,"(Intercept)|x3|x1^2|x2^2|x1^2x3|x2^2x3|x3^3|x1^3x3|x1^2x2x3","(Intercept)|x3|x1^2|x2^2|x1^2x3|x2^2x3|x3^3|x1^3x3"
"snr",21,80,"(Intercept)|x3|x1^2|x2^2|x3^2|x1^2x3^2","(Intercept)|x3|x1^2|x2^2|x3^2"
"snr",21,81,"(Intercept)|x3|x1^2|x2^2|x1^2x3|x2^2x3|x3^3|x1^2x2^2","(Intercept)|x3|x1^2|x2^2|x1^2x3|x2^2x3|x3^3"
"snr",21,82,"(Intercept)|x3|x1^2|x2^2|x1^2x3|x2^2x3|x3^3|x1^2x2^2|x1^2x2^3|x1^2x2^2x3|x2^4x3","(Intercept)|x3|x1^2|x2^2|x1^2x3|x2^2x3|x3^3|x2^4x3"
"snr",21,83,"(Intercept)|x3|x1^2|x2^2|x3^2|x1x2x3|x3^3|x1^2x2^2|x1^2x2^2x3|x1x2^3x3","(Intercept)|x3|x1^2|x2^2|x1x2x3|x3^3|x1x2^3x3"
"snr",21,84,"(Intercept)|x3|x1^2|x2^2|x2^2x3|x3^3|x1^2x2^2|x1^2x3^2","(Intercept)|x3|x1^2|x2^2|x2^2x3|x3^3|x1^2x3^2"
"snr",21,85,"(Intercept)|x3|x1^2|x2^2|x1^2x3|x2^2x3|x3^3|x1^4|x1^2x2^2|x2^4","(Intercept)|x3|x1^2|x2^2|x1^2x3|x2^2x3|x3^3|x1^4"
"snr",21,86,"(Intercept)|x3|x1^2|x2^2|x3^2|x1^2x3|x3^3|x1^4|x1x2^3|x2^4|x1^3x3|x1x2^2x3|x1^2x2^3|x1x2^2x3^2","(Intercept)|x3|x1^2|x2^2|x3^3|x1x2^2x3|x1^2x2^3"
"snr",21,87,"(Intercept)|x3|x1^2|x2^2|x3^3|x1^2x3^2|x2^2x3^2","(Intercept)|x3|x1^2|x2^2|x3^3|x1^2x3^2|x2^2x3^2"
"snr",21,88,"(Intercept)|x3|x2^2|x1x3|x1^2x3|x1x2x3|x2^2x3|x3^3|x1^4|x1^3x2|x1^2x2^2|x1^2x2^2x3|x1^3x3^2|x1x2^2x3^2","(Intercept)|x3|x2^2|x1^2x3|x2^2x3|x3^3|x1^4|x1^3x2|x1^2x2^2|x1^2x2^2x3|x1^3x3^2"
"snr",21,89,"(Intercept)|x3|x1^2|x2^2|x1x3|x3^2|x2^3|x1^2x3|x1^4|x1^3x3|x1^2x2x3|x2^2x3^2|x3^4|x1^3x2x3|x1^2x2^2x3|x1x2^3x3","(Intercept)|x3|x1^2|x2^2|x3^4"
"snr",21,90,"(Intercept)|x3|x1^2|x2^2|x3^2|x1^2x3|x2^2x3|x3^3|x2^4","(Intercept)|x3|x1^2|x2^2|x1^2x3|x2^2x3|x3^3"
"snr",21,91,"(Intercept)|x3|x1^2|x2^2|x1^2x3|x1x2x3|x2^2x3|x3^3|x1^2x2^2|x1x2^3|x1^2x2x3|x1^2x2^3|x1x2^4|x1^2x2^2x3|x1x2^3x3","(Intercept)|x3|x1^2|x2^2|x1^2x3|x2^2x3|x3^3|x1^2x2^2|x1x2^3|x1x2^3x3"
"snr",21,92,"(Intercept)|x3|x1^2|x2^2|x2x3|x1^2x2|x1x2^2|x1x2x3|x1x2^2x3|x1^2x3^2|x2^2x3^2|x3^4|x1^4x2|x1^3x2^2|x1^2x2^3|x1x2^4|x1^3x2x3|x1x2^3x3|x1^3x3^2|x1x2^2x3^2|x1x2x3^3","(Intercept)|x3|x1^2|x2^2|x1x2^2|x1x2x3|x1x2^2x3|x1^2x3^2|x2^2x3^2|x3^4|x1^4x2|x1^3x2^2|x1x2^4|x1^3x2x3|x1x2^3x3|x1^3x3^2|x1x2^2x3^2|x1x2x3^3"
"snr",21,93,"(Intercept)|x3|x1^2|x2^2|x1^2x2|x1x2^2|x2^2x3|x3^3|x1^2x2^2|x1x2^2x3|x2^3x3|x1^2x3^2|x2^2x3^2|x1^3x2^2|x1^2x2^3|x1x2^4|x1^3x2x3|x1^2x2^2x3|x1x2^3x3|x1^2x3^3|x2^2x3^3","(Intercept)|x3|x1^2|x2^2|x1^2x2|x1x2^2|x3^3|x2^3x3|x1^2x3^2|x2^2x3^2|x1^2x2^3|x1x2^4|x1^2x2^2x3|x1x2^3x3|x1^2x3^3|x2^2x3^3"
"snr",21,94,"(Intercept)|x3|x1^2|x2^2|x2^2x3|x3^3|x1^2x2^2|x1^2x3^2","(Intercept)|x3|x1^2|x2^2|x2^2x3|x3^3|x1^2x3^2"
"snr",21,95,"(Intercept)|x3|x1^2|x1x2|x2^2|x1x3|x2x3|x3^2|x1^3|x1^2x2|x1x2^2|x1^2x3|x1x2x3|x2^2x3|x1x3^2|x2x3^2|x3^3|x1^4|x1^2x2^2|x1x2^3|x2^4|x1x2^2x3|x1^2x3^2|x1x2x3^2|x2^2x3^2|x1x3^3|x3^4|x1^5|x1^4x2|x1^3x2^2|x1^2x2^3|x1x2^4|x1^4x3|x1^3x2x3|x1^2x2^2x3|x2^4x3|x1^3x3^2|x1^2x2x3^2|x1x2^2x3^2|x2^3x3^2|x1x2x3^3|x2^2x3^3|x2x3^4","(Intercept)|x3|x1^2|x2^2|x3^2|x1^3|x2^2x3|x3^3|x1x2^3|x3^4|x1^5|x1^4x3|x2^4x3|x2^3x3^2|x2x3^4"
"snr",21,96,"(Intercept)|x2|x3|x1^2|x2^2|x1x3|x1^3|x1^2x2|x1x2x3|x2^2x3|x1x3^2|x1^3x2|x1^2x2^2|x1x2^3|x2^4|x1^3x3|x1^2x2x3|x2^3x3|x1x2x3^2|x2x3^3|x3^4|x1^4x2|x1^3x2^2|x1^2x2^3|x1^2x2^2x3|x1x2^3x3|x1^2x2x3^2|x1^2x3^3|x1x2x3^3|x1x3^4|x2x3^4","(Intercept)|x3|x1^2|x2^2|x1^2x2|x2^2x3|x1^3x2|x1x2x3^2|x3^4|x1^4x2|x1^3x2^2|x1^2x2^3|x1x2^3x3|x1^2x3^3|x1x2x3^3"
"snr",21,97,"(Intercept)|x1|x3|x1^2|x2^2|x3^2|x1^3|x1^2x2|x1x2^2|x1^2x3|x1x2x3|x1x3^2|x3^3|x1^4|x1^3x2|x1^2x2^2|x1^3x3|x1^2x2x3|x1x2^2x3|x2^3x3|x1^2x3^2|x1x2x3^2|x1x3^3|x1^5|x1^4x2|x1^3x2^2|x1^2x2^3|x1x2^4|x1^4x3|x1^3x2x3|x1^2x2^2x3|x1x2^3x3|x2^4x3|x1^3x3^2|x1^2x2x3^2|x1x2^2x3^2|x2^3x3^2|x1^2x3^3|x1x2x3^3|x1x3^4","(Intercept)|x3|x1^2|x2^2|x3^2|x1^2x2|x1x3^2|x3^3|x1^4|x1^3x3|x1^2x2x3|x1x2^2x3|x1^2x3^2|x1x3^3|x1^5|x1^4x2|x1^2x2^3|x1^4x3|x1x2^3x3|x1^3x3^2|x1^2x2x3^2|x1x2^2x3^2|x2^3x3^2|x1^2x3^3|x1x2x3^3"
"snr",21,98,"(Intercept)|x3|x1^2|x2^2|x1^2x3|x2^2x3|x3^3|x2^4|x1^2x2x3|x1^4x2|x1^2x2^2x3","(Intercept)|x3|x1^2|x2^2|x1^2x3|x2^2x3|x3^3|x1^2x2x3|x1^4x2"
"snr",21,99,"(Intercept)|x1|x2|x3|x1^2|x1x2|x2^2|x1x3|x2x3|x3^2|x1^3|x1^2x2|x1x2^2|x2^3|x1^2x3|x1x2x3|x2^2x3|x3^3|x1^4|x1^3x2|x1^2x2^2|x1x2^3|x2^4|x1^3x3|x1^2x2x3|x1x2^2x3|x2^3x3|x1^2x3^2|x1x2x3^2|x2^2x3^2|x1x3^3|x2x3^3|x3^4|x1^5|x1^4x2|x1^3x2^2|x1^2x2^3|x1x2^4|x1^4x3|x1^2x2^2x3|x1x2^3x3|x2^4x3|x1^3x3^2|x1^2x2x3^2|x1x2^2x3^2|x2^3x3^2|x1^2x3^3|x1x2x3^3|x2^2x3^3|x1x3^4|x2x3^4","(Intercept)|x1|x3|x1^2|x1x2|x2^2|x1^3|x1^2x2|x1x2^2|x1^2x3|x2^2x3|x3^3|x1^4|x2^4|x1^2x2x3|x1^5|x1^4x2|x1^3x2^2|x1^2x2^3|x1x2^4|x2^4x3|x1^3x3^2|x1^2x2x3^2"
"snr",21,100,"(Intercept)|x3|x1^2|x2^2|x1x3|x1^3|x1^2x3|x2^2x3|x3^3","(Intercept)|x3|x1^2|x2^2|x1^3|x1^2x3|x2^2x3|x3^3"
"snr",22,1,"(Intercept)|x3|x1^2|x2^2|x1^2x3|x2^2x3|x3^3|x1^2x2^2|x1^2x2^2x3","(Intercept)|x3|x1^2|x2^2|x1^2x3|x2^2x3|x3^3"
"snr",22,2,"(Intercept)|x3|x1^2|x2^2|x2^2x3|x3^3|x1^2x3^2","(Intercept)|x3|x1^2|x2^2|x2^2x3|x3^3|x1^2x3^2"
"snr",22,3,"(Intercept)|x3|x1^2|x2^2|x1^2x3|x3^3|x1^2x2^2|x1^3x3|x2^2x3^2","(Intercept)|x3|x1^2|x2^2|x1^2x3|x3^3|x1^3x3|x2^2x3^2"
"snr",22,4,"(Intercept)|x2|x3|x1^2|x1x3|x2x3|x1^2x2|x1x2^2|x2^3|x1^2x3|x2^2x3|x2x3^2|x3^3|x1^2x2^2|x2^4|x1^2x2x3|x2^3x3","(Intercept)|x3|x1^2|x1x3|x2x3|x1^2x3|x2^2x3|x2x3^2|x3^3|x1^2x2^2|x2^4|x1^2x2x3|x2^3x3"
"snr",22,5,"(Intercept)|x3|x1^2|x2^2|x1^2x3|x3^3|x1^4|x2^2x3^2|x1^2x2^2x3","(Intercept)|x3|x1^2|x2^2|x1^2x3|x3^3|x1^4|x2^2x3^2|x1^2x2^2x3"
"snr",22,6,"(Intercept)|x3|x1^2|x2^2|x1^2x3|x3^3|x2^2x3^2","(Intercept)|x3|x1^2|x2^2|x1^2x3|x3^3|x2^2x3^2"
"snr",22,7,"(Intercept)|x3|x1^2|x2^2|x1x3|x1^2x3|x1x2x3|x2^2x3|x3^3|x2^2x3^2","(Intercept)|x3|x1^2|x2^2|x1x3|x1^2x3|x2^2x3|x3^3"
"snr",22,8,"(Intercept)|x3|x1^2|x2^2|x3^2|x1^2x2|x1^2x3|x1x2x3|x2^2x3|x3^3|x1^3x3|x1^2x2x3","(Intercept)|x3|x1^2|x2^2|x1^2x3|x2^2x3|x3^3|x1^3x3"
"snr",22,9,"(Intercept)|x3|x1^2|x2^2|x3^3|x1^2x3^2|x2^2x3^2","(Intercept)|x3|x1^2|x2^2|x3^3|x1^2x3^2|x2^2x3^2"
"snr",22,10,"(Intercept)|x3|x1^2|x2^2|x1^2x2^2|x1^2x3^2|x2^2x3^2|x3^4","(Intercept)|x3|x1^2|x2^2|x1^2x3^2|x2^2x3^2|x3^4"
"snr",22,11,"(Intercept)|x3|x1^2|x2^2|x1^2x2^2|x2^4|x1^2x3^2|x2^2x3^2|x3^4","(Intercept)|x3|x1^2|x2^2|x1^2x3^2|x2^2x3^2|x3^4"
"snr",22,12,"(Intercept)|x3|x1^2|x1x2|x2^2|x1^2x2|x1x2^2|x1^2x3|x1x2x3|x2^2x3|x3^3|x1^4|x1x2^3|x1^4x2|x1^2x2^3|x1^2x2x3^2","(Intercept)|x3|x1^2|x2^2|x1^2x3|x2^2x3|x3^3"
"snr",22,13,"(Intercept)|x3|x1^2|x2^2|x1^2x2^2|x1^2x3^2|x2^2x3^2|x3^4","(Intercept)|x3|x1^2|x2^2|x1^2x3^2|x2^2x3^2|x3^4"
"snr",22,14,"(Intercept)|x3|x1^2|x2^2|x2^2x3|x1x2^2x3|x1^2x3^2|x3^4|x1^3x2^2","(Intercept)|x3|x1^2|x2^2|x2^2x3|x1^2x3^2|x3^4|x1^3x2^2"
"snr",22,15,"(Intercept)|x3|x1^2|x2^2|x3^3|x1^2x2^2|x1^2x3^2|x2^2x3^2","(Intercept)|x3|x1^2|x2^2|x3^3|x1^2x3^2|x2^2x3^2"
"snr",22,16,"(Intercept)|x3|x1^2|x2^2|x2^2x3|x1^2x3^2|x3^4","(Intercept)|x3|x1^2|x2^2|x2^2x3|x1^2x3^2|x3^4"
"snr",22,17,"(Intercept)|x3|x1^2|x2^2|x1^2x3|x2^2x3|x3^3","(Intercept)|x3|x1^2|x2^2|x1^2x3|x2^2x3|x3^3"
"snr",22,18,"(Intercept)|x3|x1^2|x2^2|x1^2x3^2|x2^2x3^2|x3^4|x1^3x2^2","(Intercept)|x3|x1^2|x2^2|x1^2x3^2|x2^2x3^2|x3^4|x1^3x2^2"
"snr",22,19,"(Intercept)|x3|x1^2|x2^2|x1^2x2^2|x1^2x3^2|x2^2x3^2|x3^4","(Intercept)|x3|x1^2|x2^2|x1^2x3^2|x2^2x3^2|x3^4"
"snr",22,20,"(Intercept)|x3|x1^2|x2^2|x1^2x3|x2^2x3|x3^3","(Intercept)|x3|x1^2|x2^2|x1^2x3|x2^2x3|x3^3"
"snr",22,21,"(Intercept)|x3|x1^2|x2^2|x1^2x3|x2^2x3|x3^3","(Intercept)|x3|x1^2|x2^2|x1^2x3|x2^2x3|x3^3"
"snr",22,22,"(Intercept)|x3|x1^2|x2^2|x1^2x3|x2^2x3|x3^3","(Intercept)|x3|x1^2|x2^2|x1^2x3|x2^2x3|x3^3"
"snr",22,23,"(Intercept)|x2|x3|x1^2|x3^2|x1^2x2|x2^3|x1^2x3|x3^3|x1^4|x1^2x2^2|x2^4|x1^3x3|x2^2x3^2","(Intercept)|x3|x1^2|x2^3|x1^2x3|x3^3|x1^2x2^2|x2^4|x1^3x3|x2^2x3^2"
"snr",22,24,"(Intercept)|x3|x1^2|x2^2|x2^2x3|x3^3|x1^2x3^2|x2^2x3^2","(Intercept)|x3|x1^2|x2^2|x3^3|x1^2x3^2"
"snr",22,25,"(Intercept)|x3|x1^2|x2^2|x1^2x3^2|x2^2x3^2|x3^4|x1^2x2^2x3","(Intercept)|x3|x1^2|x2^2|x1^2x3^2|x2^2x3^2|x3^4"
"snr",22,26,"(Intercept)|x3|x1^2|x2^2|x3^3|x1^2x3^2|x2^2x3^2|x1^2x2^2x3","(Intercept)|x3|x1^2|x2^2|x3^3|x1^2x3^2|x2^2x3^2|x1^2x2^2x3"
"snr",22,27,"(Intercept)|x3|x1^2|x2^2|x2^3|x1^2x3|x2^2x3|x3^3|x1^2x2^2|x1^3x3|x1^2x2x3|x2^5|x1^2x2^2x3","(Intercept)|x3|x1^2|x2^2|x2^3|x3^3|x1^3x3|x2^5"
"snr",22,28,"(Intercept)|x3|x1^2|x2^2|x1x2x3|x3^3|x1^4x3|x1^3x2x3|x1^2x2^2x3|x1x2^3x3","(Intercept)|x3|x1^2|x2^2|x1x2x3|x3^3|x1^4x3|x1^3x2x3|x1^2x2^2x3|x1x2^3x3"
"snr",22,29,"(Intercept)|x3|x1^2|x2^2|x1^2x2^2|x1^2x3^2|x2^2x3^2|x3^4","(Intercept)|x3|x1^2|x2^2|x1^2x3^2|x2^2x3^2|x3^4"
"snr",22,30,"(Intercept)|x3|x1^2|x2^2|x1^2x3|x2^2x3|x3^3","(Intercept)|x3|x1^2|x2^2|x1^2x3|x2^2x3|x3^3"
"snr",22,31,"(Intercept)|x3|x2^2|x1^2x3|x1x2x3|x3^3|x1^4|x1^3x2|x1^2x2^2|x2^3x3|x1^3x2x3|x1^2x2^2x3|x1x2^2x3^2|x2^3x3^2","(Intercept)|x3|x2^2|x1^2x3|x3^3|x1^4|x1^3x2|x1^2x2^2|x1^3x2x3|x1x2^2x3^2"
"snr",22,32,"(Intercept)|x3|x1^2|x2^2|x2^2x3|x1^2x2^2|x1^3x3|x1^2x3^2|x3^4|x1^3x2^2|x1^2x2^3","(Intercept)|x3|x1^2|x2^2|x2^2x3|x1^3x3|x1^2x3^2|x3^4|x1^3x2^2"
"snr",22,33,"(Intercept)|x3|x1^2|x2^2|x3^2|x1^2x2|x3^3|x1^2x2^2|x2^4|x1^4x2|x1x2^3x3","(Intercept)|x3|x1^2|x2^2|x1^2x2|x3^3|x2^4"
"snr",22,34,"(Intercept)|x1|x2|x3|x2^2|x3^2|x1^3|x1^2x2|x1x2^2|x2^3|x1^2x3|x2^2x3|x1^4|x1^2x2^2|x2^4|x1^3x3|x1x2^2x3|x1^2x3^2|x2^2x3^2","(Intercept)|x1|x2|x3|x3^2|x1^3|x1^2x3|x2^2x3|x1^2x2^2|x1^3x3|x1^2x3^2"
"snr",22,35,"(Intercept)|x3|x1^2|x2^2|x3^3|x1^4|x1^2x2^2|x1^2x3^2|x2^2x3^2","(Intercept)|x3|x1^2|x2^2|x3^3|x1^4|x1^2x2^2|x1^2x3^2|x2^2x3^2"
"snr",22,36,"(Intercept)|x3|x1^2|x1x2|x2^2|x1^2x2|x1^2x3|x3^3|x1^4|x1^3x2|x1^2x2^2|x1^3x2^2","(Intercept)|x3|x1^2|x2^2|x1^2x3|x3^3"
"snr",22,37,"(Intercept)|x3|x1^2|x1x2|x2^2|x3^2|x1x2x3|x2^2x3|x3^3|x1^3x2|x1^4x2|x1^3x2x3|x1^2x2^2x3|x1x2^3x3|x2^4x3|x1x2x3^3","(Intercept)|x3|x1^2|x2^2|x1x2x3|x2^2x3|x3^3|x1^3x2|x1^4x2|x1^3x2x3|x1^2x2^2x3|x1x2^3x3|x1x2x3^3"
"snr",22,38,"(Intercept)|x3|x1^2|x2^2|x3^2|x2^3|x2^2x3|x3^3|x1^4|x1^2x2^2|x1x2^4|x1^4x3|x1^3x2x3|x1^2x2^2x3|x1x2^3x3","(Intercept)|x3|x1^2|x2^2|x2^2x3|x3^3|x1x2^4|x1^4x3|x1^2x2^2x3|x1x2^3x3"
"snr",22,39,"(Intercept)|x3|x1x2|x2^2|x1x2^2|x1^2x3|x1x2x3|x2^2x3|x3^3|x1^4|x1^2x2^2|x1x2^3|x1^2x2x3|x2^4x3|x1x2x3^3","(Intercept)|x3|x2^2|x1x2^2|x1^2x3|x1x2x3|x2^2x3|x3^3|x1^4|x1^2x2^2|x1x2x3^3"
"snr",22,40,"(Intercept)|x3|x1^2|x2^2|x1^2x2^2|x1^2x3^2|x2^2x3^2|x3^4","(Intercept)|x3|x1^2|x2^2|x1^2x3^2|x2^2x3^2|x3^4"
"snr",22,41,"(Intercept)|x3|x1^2|x2^2|x1^2x3|x2^2x3|x3^3|x1^2x2^2","(Intercept)|x3|x1^2|x2^2|x1^2x3|x2^2x3|x3^3|x1^2x2^2"
"snr",22,42,"(Intercept)|x3|x1^2|x2^2|x1^2x3^2|x2^2x3^2|x3^4","(Intercept)|x3|x1^2|x2^2|x1^2x3^2|x2^2x3^2|x3^4"
"snr",22,43,"(Intercept)|x3|x1^2|x2^2|x2^2x3|x3^3|x1^3x2|x2^3x3|x1^2x2^2x3|x1x2^3x3|x2^2x3^3","(Intercept)|x3|x1^2|x2^2|x3^3|x1^2x2^2x3"
"snr",22,44,"(Intercept)|x3|x1^2|x2^2|x1x2x3|x2^2x3|x3^3|x1^3x3|x1^4x3|x1x2^2x3^2","(Intercept)|x3|x1^2|x2^2|x2^2x3|x3^3|x1^3x3|x1^4x3|x1x2^2x3^2"
"snr",22,45,"(Intercept)|x3|x1^2|x2^2|x1^2x3|x2^2x3|x3^3","(Intercept)|x3|x1^2|x2^2|x1^2x3|x2^2x3|x3^3"
"snr",22,46,"(Intercept)|x3|x1^2|x2^2|x3^2|x1^2x2|x2^2x3|x3^3|x1^4|x1^3x2|x1^3x2x3","(Intercept)|x3|x1^2|x2^2|x2^2x3|x3^3|x1^3x2|x1^3x2x3"
"snr",22,47,"(Intercept)|x3|x1^2|x2^2|x2x3|x2^3|x1^2x3|x1x2x3|x2^2x3|x2x3^2|x3^3|x2^3x3|x1^2x3^2|x1x2x3^2","(Intercept)|x3|x1^2|x2^2|x1^2x3|x2^2x3|x3^3|x1^2x3^2"
"snr",22,48,"(Intercept)|x3|x1^2|x2^2|x1x2x3|x2^2x3|x3^3|x1^4|x1^2x3^2|x1^3x3^2","(Intercept)|x3|x1^2|x2^2|x2^2x3|x3^3|x1^2x3^2|x1^3x3^2"
"snr",22,49,"(Intercept)|x3|x1^2|x2^2|x3^2|x1x2^2|x3^3|x2^2x3^2","(Intercept)|x3|x1^2|x2^2|x3^2|x3^3|x2^2x3^2"
"snr",22,50,"(Intercept)|x3|x1^2|x2^2|x1^2x2|x1^2x3|x3^3|x1^4|x1^3x2|x1^2x2^2|x1^4x2|x1^3x2x3|x1^2x2^2x3|x1x2^2x3^2","(Intercept)|x3|x1^2|x2^2|x1^2x3|x3^3|x1^2x2^2x3"
"snr",22,51,"(Intercept)|x3|x1^2|x2^2|x3^2|x3^3|x1^4|x1^2x2^2|x1x2^2x3|x1^2x2^3|x1x2^3x3|x2^4x3","(Intercept)|x3|x1^2|x2^2|x3^3|x2^4x3"
"snr",22,52,"(Intercept)|x3|x1^2|x2^2|x1^2x3|x2^2x3|x3^3|x1^2x2^2","(Intercept)|x3|x1^2|x2^2|x1^2x3|x2^2x3|x3^3"
"snr",22,53,"(Intercept)|x3|x2^2|x1x2^2|x1x3^2|x3^3|x1^4|x1^2x2^2|x2^4|x1^2x2x3|x1^3x2x3|x1^2x2^2x3|x1^3x3^2","(Intercept)|x3|x2^2|x3^3|x1^4|x1^2x2^2|x1^2x2x3|x1^3x2x3"
"snr",22,54,"(Intercept)|x3|x1^2|x2^2|x1^2x2|x1x2x3|x2^2x3|x3^3|x1^4|x1^2x2^2|x2^4|x1^2x3^2|x1x2x3^2","(Intercept)|x3|x1^2|x2^2|x2^2x3|x3^3|x1^4|x1^2x3^2"
