"sweep","value","trial","pass2","final"
"n",4.6,60,"(Intercept)|x3|x1^2|x2^2|x1x3|x3^2|x1x2^2|x2^3|x1^2x3|x2^2x3|x3^3|x1^4|x1^2x2^2|x2^4|x1^3x3|x3^4|x1^3x2x3","(Intercept)|x3|x1^2|x2^2|x1^2x3|x2^2x3|x3^3|x1^3x3"
"n",4.6,61,"(Intercept)|x1|x2|x3|x1^2|x1x2|x2^2|x2x3|x3^2|x1^2x2|x2^3|x1^2x3|x1x2x3|x1x3^2|x2x3^2|x3^3|x1^4|x1^2x2^2|x2^4|x1^3x3|x1^2x2x3|x1x2^2x3|x1^2x3^2|x1x2x3^2|x2^2x3^2|x1x3^3|x3^4|x1^2x2^3|x1^4x3|x1^2x2^2x3|x2^4x3|x1^3x3^2|x1x2^2x3^2|x1^2x3^3|x2^2x3^3","(Intercept)|x1|x3|x1^2|x1x2|x2^2|x2x3|x3^2|x2^3|x1^2x3|x2x3^2|x3^3|x1^3x3|x2^2x3^2|x1^2x2^3|x2^4x3|x2^2x3^3"
"n",4.6,62,"(Intercept)|x3|x1^2|x2^2|x1^2x3|x2^2x3|x3^3|x1^4|x1^2x2^2|x1^3x3|x1^2x3^2|x2^2x3^2|x3^4|x1^2x2^2x3","(Intercept)|x3|x1^2|x2^2|x1^2x3|x2^2x3|x3^3|x1^3x3"
"n",4.6,63,"(Intercept)|x3|x1^2|x2^2|x1^2x3|x2^2x3|x3^3|x1^3x3","(Intercept)|x3|x1^2|x2^2|x1^2x3|x2^2x3|x3^3|x1^3x3"
"n",4.6,64,"(Intercept)|x3|x1^2|x2^2|x1x3|x1^2x3|x2^2x3|x3^3|x1^3x3|x1x3^3","(Intercept)|x3|x1^2|x2^2|x1^2x3|x2^2x3|x3^3|x1^3x3"
"n",4.6,65,"(Intercept)|x3|x1^2|x2^2|x1^2x3|x2^2x3|x3^3|x1^3x3","(Intercept)|x3|x1^2|x2^2|x1^2x3|x2^2x3|x3^3|x1^3x3"
"n",4.6,66,"(Intercept)|x3|x1^2|x2^2|x1^2x3|x2^2x3|x3^3|x1^4|x1^2x2^2|x2^4|x1^3x3|x1^2x2x3|x1^2x3^2|x2^2x3^2","(Intercept)|x3|x1^2|x2^2|x1^2x3|x2^2x3|x3^3|x1^3x3"
"n",4.6,67,"(Intercept)|x3|x1^2|x1x2|x2^2|x2^3|x1^2x3|x1x2x3|x2^2x3|x3^3|x1^2x2^2|x2^4|x1^3x3|x1x2^2x3|x2^3x3|x2^2x3^2","(Intercept)|x3|x1^2|x2^2|x1^2x3|x2^2x3|x3^3|x1^3x3"
"n",4.6,68,"(Intercept)|x3|x1^2|x2^2|x1^2x3|x2^2x3|x3^3|x1^3x3","(Intercept)|x3|x1^2|x2^2|x1^2x3|x2^2x3|x3^3|x1^3x3"
"n",4.6,69,"(Intercept)|x1|x2|x3|x1^2|x2^2|x1x3|x2x3|x3^2|x1^3|x1x2^2|x2^3|x1^2x3|x1x2x3|x2^2x3|x1x3^2|x3^3|x1^4|x1^3x2|x1^2x2^2|x2^4|x1^3x3|x1x2^2x3|x2^3x3|x1^2x3^2|x1x2x3^2|x2^2x3^2|x1x3^3|x2x3^3|x3^4|x1^5|x1^3x2^2|x1^2x2^3|x1x2^4|x1^4x3|x1^3x2x3|x1^2x2^2x3|x1x2^3x3|x2^4x3|x1^3x3^2|x1^2x2x3^2|x1x2^2x3^2|x2^3x3^2|x1^2x3^3|x2^2x3^3|x1x3^4","(Intercept)|x3|x1^2|x2^2|x1x2^2|x1^2x3|x2^2x3|x3^3|x2^4|x1^3x3|x1x2^4"
"n",4.6,70,"(Intercept)|x1|x2|x3|x1^2|x2^2|x1x3|x2x3|x3^2|x2^3|x1x2x3|x2x3^2|x3^3|x1^4|x1^3x2|x1^2x2^2|x1^3x3|x1x2^2x3|x2^3x3|x1^2x3^2|x2^2x3^2|x1x3^3|x3^4|x1^4x2|x1^2x2^3|x2^5|x1^4x3|x1^2x2^2x3|x2^4x3|x1^2x2x3^2|x1x2^2x3^2|x1^2x3^3|x2^2x3^3|x1x3^4","(Intercept)|x1|x2|x3|x1^2|x2^2|x3^2|x2^3|x1x2x3|x3^3|x1^4|x1^3x3|x1x2^2x3|x1^2x3^2|x2^2x3^2|x1x3^3|x1^2x2^3|x2^5|x1^4x3|x1^2x2^2x3|x2^4x3|x1^2x2x3^2|x1x2^2x3^2|x1^2x3^3|x2^2x3^3"
"n",4.6,71,"(Intercept)|x3|x1^2|x2^2|x1^2x3|x2^2x3|x3^3|x1^2x2^2|x2^4|x1^3x3|x1^2x3^2|x2^2x3^2|x1^4x3|x1^2x2^2x3","(Intercept)|x3|x1^2|x2^2|x1^2x3|x2^2x3|x3^3|x1^3x3"
"n",4.6,72,"(Intercept)|x3|x1^2|x2^2|x1x3|x3^2|x1^2x3|x2^2x3|x3^3|x1^2x2^2|x2^4|x1^3x3|x3^4","(Intercept)|x3|x1^2|x2^2|x1^2x3|x2^2x3|x3^3|x1^3x3"
"n",4.6,73,"(Intercept)|x1|x2|x3|x1^2|x1x2|x2^2|x1x3|x2x3|x3^2|x1^3|x1x2^2|x1^2x3|x1x2x3|x2^2x3|x3^3|x1^4|x1^2x2^2|x2^4|x1^3x3|x1^2x2x3|x1x2^2x3|x2^3x3|x1^2x3^2|x2^2x3^2|x1x3^3|x3^4|x1^3x2^2|x1^2x2^3|x1^2x2^2x3|x2^4x3|x1^3x3^2|x1x2^2x3^2","(Intercept)|x3|x1^2|x1x2|x2^2|x1^2x3|x2^2x3|x3^3|x1^3x3"
"n",4.6,74,"(Intercept)|x1|x2|x3|x1^2|x2^2|x1x3|x2x3|x3^2|x1^3|x1^2x2|x2^3|x1^2x3|x1x2x3|x2x3^2|x3^3|x1^4|x1^2x2^2|x2^4|x1^3x3|x1^2x2x3|x1x2^2x3|x2^3x3|x1^2x3^2|x2^2x3^2|x1x3^3|x3^4|x1^5|x1^3x2^2|x1^2x2^3|x1x2^4|x2^5|x1^4x3|x1^2x2^2x3|x2^4x3|x1^2x2x3^2|x1^2x3^3|x2^2x3^3|x3^5","(Intercept)|x2|x3|x1^2|x2^2|x3^2|x1^2x3|x3^3|x1^3x3|x1^2x3^2|x2^2x3^2|x1^4x3|x1^2x2^2x3|x2^4x3|x1^2x3^3|x2^2x3^3"
"n",4.6,75,"(Intercept)|x3|x1^2|x2^2|x1x3|x1^3|x1^2x3|x2^2x3|x3^3|x1^3x3|x1^2x3^2|x2^2x3^2","(Intercept)|x3|x1^2|x2^2|x1^2x3|x2^2x3|x3^3|x1^3x3"
"n",4.6,76,"(Intercept)|x2|x3|x1^2|x2^2|x1x3|x3^2|x1x2^2|x2^3|x1^2x3|x1x2x3|x2^2x3|x1x3^2|x2x3^2|x3^3|x1^3x2|x1^2x2^2|x1x2^3|x2^4|x1^3x3|x1x2^2x3|x2^3x3|x1^2x3^2|x1x2x3^2|x1x3^3|x3^4|x1^4x2|x1^2x2^3|x2^5|x1^4x3|x1^2x2^2x3|x1x2^3x3|x2^4x3|x1^3x3^2|x1x2^2x3^2|x2^3x3^2|x1^2x3^3|x2^2x3^3|x1x3^4","(Intercept)|x3|x1^2|x2^2|x1^2x3|x2^2x3|x3^3|x1x2^3|x1^3x3|x2^3x3|x1^2x2^3|x2^5|x1x2^3x3|x2^3x3^2"
"n",4.6,77,"(Intercept)|x3|x1^2|x2^2|x1x3|x3^2|x1^2x3|x2^2x3|x3^3|x1^4|x1^2x2^2|x2^4|x1^3x3|x1x2^2x3|x1^2x3^2|x1x3^3|x3^4|x1^3x2x3|x1^2x2^2x3","(Intercept)|x3|x1^2|x2^2|x1^2x3|x2^2x3|x3^3|x1^3x3"
